Date LHUR PUNEW FYFF FYGM3 FYGT1 EXRUK GDPJP
1978:02 6 64.46666666667 7.6 6.73 8.09 183.7244 63.1962
1978:03 6.03333333333 65.96666666667 8.45 7.85 8.64 195.95 64.0711
1978:04 5.9 67.5 10.03 9.08 10.3 198.6109 64.8563
1979:01 5.86666666667 69.2 10.09 9.48 10.25 203.78 65.423
1979:02 5.7 71.4 10.29 9.06 9.57 211.19 66.5621
1979:03 5.86666666667 73.7 11.43 10.26 10.84 219.66 67.1826
1979:04 5.96666666667 76.03333333333 13.78 12.04 11.98 220.07 67.7696
1980:01 6.3 79.03333333333 17.19 15.2 15.82 220.4511 68.7697
1980:02 7.33333333333 81.7 9.47 7.07 8.16 233.5943 68.6062
1980:03 7.66666666667 83.23333333333 10.87 10.27 11.52 240.1233 69.2179
1980:04 7.4 85.56666666667 18.9 15.49 14.88 234.5937 70.0654
1981:01 7.43333333333 87.93333333333 14.7 13.36 13.71 223.19 71.1652
1981:02 7.4 89.76666666667 19.1 14.73 14.86 197.38 71.2458
1981:03 7.4 92.26666666667 15.87 14.7 16.52 181.46 71.9619
1981:04 8.23333333333 93.76666666667 12.37 10.85 12.85 190.3329 72.2424
1982:01 8.83333333333 94.6 14.68 12.68 13.95 180.5 72.9219
1982:02 9.43333333333 95.96666666667 14.15 12.47 14.07 175.63 73.858
1982:03 9.9 97.63333333333 10.31 7.92 10.85 171.2 74.1411
1982:04 10.66666666667 97.93333333333 8.95 7.94 8.91 161.6 74.8163
1983:01 10.36666666667 98 8.77 8.35 9.04 149 75.1548
1983:02 10.13333333333 99.13333333333 8.98 8.79 9.66 154.8 75.362
1983:03 9.36666666667 100.1 9.45 9 10.16 149.86 76.5103
1983:04 8.53333333333 101.1 9.47 9 10.11 143.38 76.7657
1984:01 7.86666666667 102.53333333333 9.91 9.52 10.59 145.57 77.9796
1984:02 7.43333333333 103.5 11.06 9.87 12.08 137.7 79.0376
1984:03 7.43333333333 104.4 11.3 10.37 11.58 125.63 79.5258
1984:04 7.3 105.3 8.38 8.06 9.33 118.61 80.1512
1985:01 7.23333333333 106.26666666667 8.58 8.52 9.86 112.53 81.3921
1985:02 7.3 107.23333333333 7.53 6.95 7.8 128.08 82.9006
1985:03 7.2 107.9 7.92 7.1 8.07 136.42 83.3768
1985:04 7.03333333333 109 8.27 7.1 7.67 144.47 84.6351
1986:01 7.03333333333 109.56666666667 7.48 6.56 7.03 146.74 83.7738
1986:02 7.16666666667 109.03333333333 6.92 6.21 6.73 150.85 85.0508
1986:03 6.96666666667 109.7 5.89 5.21 5.77 146.98 85.6048
1986:04 6.83333333333 110.46666666667 6.91 5.53 5.87 143.93 86.7212
1987:01 6.6 111.9 6.13 5.59 6.03 159.23 87.1465
1987:02 6.26666666667 113.16666666667 6.73 5.67 6.8 162.88 87.5783
1987:03 6 114.36666666667 7.22 6.4 7.67 164.46 89.1426
1987:04 5.83333333333 115.43333333333 6.77 5.77 7.17 182.88 91.0798
1988:01 5.7 116.3 6.58 5.7 6.71 183.3 92.5942
1988:02 5.46666666667 117.63333333333 7.51 6.46 7.49 177.68 93.2352
1988:03 5.46666666667 119.06666666667 8.19 7.24 8.09 168.4 95.1106
1988:04 5.33333333333 120.4 8.76 8.07 8.99 182.58 96.2846
1989:01 5.2 121.76666666667 9.85 8.82 9.57 171.34 97.5208
1989:02 5.23333333333 123.7 9.53 8.15 8.44 155.3 97.3877
1989:03 5.23333333333 124.7 9.02 7.75 8.22 157.15 99.3666
1989:04 5.36666666667 125.93333333333 8.45 7.63 7.72 159.65 100.603
1990:01 5.3 128.1 8.28 7.9 8.35 162.45 100.984
1990:02 5.33333333333 129.4 8.29 7.73 8.1 171.03 103.155
1990:03 5.7 131.63333333333 8.2 7.36 7.76 187.94 104.357
1990:04 6.13333333333 133.86666666667 7.31 6.74 7.05 192.19 105.641
1991:01 6.6 134.86666666667 6.12 5.91 6.4 182.14 106.774
1991:02 6.83333333333 135.66666666667 5.9 5.57 6.36 164.97 107.437
1991:03 6.86666666667 136.7 5.45 5.22 5.57 172.65 107.783
1991:04 7.1 137.83333333333 4.43 4.07 4.38 182.72 108.653
1992:01 7.36666666667 138.76666666667 3.98 4.04 4.63 172.38 109.295
1992:02 7.6 139.83333333333 3.76 3.66 4.17 185.51 108.96
1992:03 7.63333333333 140.9 3.22 2.91 3.18 184.65 108.446
1992:04 7.36666666667 142.13333333333 2.92 3.22 3.71 155.1 108.467
1993:01 7.13333333333 143.13333333333 3.07 2.95 3.33 146.17 108.565
1993:02 7.06666666667 144.2 3.04 3.07 3.54 150.82 108.947
1993:03 6.8 144.86666666667 3.09 2.95 3.36 152.48 109.108
1993:04 6.63333333333 146.03333333333 2.96 3.06 3.61 149.13 108.979
1994:01 6.56666666667 146.8 3.34 3.5 4.32 149.19 108.976
1994:02 6.2 147.63333333333 4.25 4.14 5.27 152.62 109.537
1994:03 6 149 4.73 4.62 5.76 156.61 110.209
1994:04 5.63333333333 149.86666666667 5.45 5.6 7.14 155.87 109.905
1995:01 5.46666666667 150.96666666667 5.98 5.73 6.43 160.02 109.329
1995:02 5.66666666667 152.2 6 5.47 5.64 159.48 111.025
1995:03 5.66666666667 152.96666666667 5.8 5.28 5.62 155.9 111.748
1995:04 5.56666666667 153.86666666667 5.6 5.14 5.31 154.05 112.571
1996:01 5.53333333333 155.16666666667 5.31 4.96 5.34 152.71 115.556
1996:02 5.5 156.5 5.27 5.09 5.81 154.16 115.665
1996:03 5.26666666667 157.4 5.3 5.09 5.83 155.93 115.197
1996:04 5.33333333333 158.76666666667 5.29 4.91 5.47 166.39 116.425
1997:01 5.26666666667 159.76666666667 5.39 5.14 5.8 160.96 118.765
1997:02 5 160.13333333333 5.56 4.93 5.69 164.49 115.488
1997:03 4.86666666667 160.86666666667 5.54 4.95 5.52 160.13 116.388
1997:04 4.66666666667 161.76666666667 5.5 5.16 5.53 165.97 115.957
1998:01 4.66666666667 162.16666666667 5.49 5.03 5.39 166.19 116.164
1998:02 4.43333333333 162.66666666667 5.56 4.98 5.41 165.04 115.322
1998:03 4.5 163.4 5.51 4.61 4.71 168.23 114.988
1998:04 4.43333333333 164.2 4.68 4.39 4.52 167.08 114.035
1999:01 4.3 164.86666666667 4.81 4.44 4.78 162.13 116.288
1999:02 4.3 166.03333333333 4.76 4.57 5.1 159.5 116.408
1999:03 4.23333333333 167.2 5.22 4.68 5.25 162.47 NA
1999:04 4.1 168.53333333333 5.3 5.2 5.84 161.32 NA
2000:01 4.03333333333 170.26666666667 5.85 5.69 6.22 157.99 NA
2000:02 4.03333333333 171.53333333333 6.53 5.69 6.17 150.92 NA
2000:03 4 173.03333333333 6.52 6 6.13 143.36 NA
2000:04 3.96666666667 174.26666666667 6.4 5.77 5.6 146.29 NA
