ENTRY PPIOJ PWFSA FDD
1961:04 50.1 33.29924 0
1961:05 44.2 33.20000076 0
1961:06 44.2 33.20000076 0
1961:07 44.5 33.29924 0
1961:08 44.5 33.40000153 0
1961:09 44.5 33.29924 0
1961:10 44.2 33.29924 0
1961:11 44.2 33.40000153 0
1961:12 44.2 33.40000153 0
1962:01 39.8 33.59847 3
1962:02 39.5 33.59847 1
1962:03 35.2 33.5 0
1962:04 35.2 33.40000153 0
1962:05 35.2 33.29924 0
1962:06 35.4 33.29924 0
1962:07 35.7 33.40000153 0
1962:08 35.7 33.5 0
1962:09 35.5 33.79924 0
1962:10 35.4 33.59847 0
1962:11 35.3 33.59847 0
1962:12 35.1 33.5 0
1963:01 52.9 33.5 20
1963:02 51.9 33.40000153 0
1963:03 56.7 33.29924 0
1963:04 63.8 33.20000076 0
1963:05 63.8 33.29924 0
1963:06 63.8 33.40000153 0
1963:07 65.5 33.5 0
1963:08 65.5 33.40000153 0
1963:09 65.5 33.40000153 0
1963:10 65.5 33.5 0
1963:11 65.5 33.5 0
1963:12 65.5 33.40000153 0
1964:01 65.5 33.59847 0
1964:02 65.5 33.5 5
1964:03 65.5 33.40000153 0
1964:04 65.4 33.40000153 0
1964:05 59.3 33.40000153 0
1964:06 59.3 33.5 0
1964:07 59.3 33.59847 0
1964:08 59.2 33.59847 0
1964:09 59.2 33.59847 0
1964:10 59.2 33.59847 0
1964:11 59.2 33.59847 0
1964:12 59.2 33.59847 0
1965:01 59.2 33.70000076 0
1965:02 47.2 33.70000076 3
1965:03 47.2 33.70000076 0
1965:04 45.4 33.90000153 0
1965:05 39.9 34 0
1965:06 39.9 34.20000076 0
1965:07 39.9 34.20000076 0
1965:08 39.9 34.20000076 0
1965:09 39.9 34.29924 0
1965:10 39.9 34.40000153 0
1965:11 39.9 34.5 0
1965:12 39.9 34.70000076 0
1966:01 36 34.79924 0
1966:02 38.6 35 9
1966:03 37.9 35 0
1966:04 37.7 35 0
1966:05 40.1 35 0
1966:06 40.1 35 0
1966:07 40.1 35.20000076 0
1966:08 40.1 35.40000153 0
1966:09 40.1 35.59847 0
1966:10 40.1 35.5 0
1966:11 40.1 35.5 0
1966:12 40.1 35.40000153 0
1967:01 40.1 35.5 0
1967:02 30.1 35.40000153 0
1967:03 30.1 35.29924 4
1967:04 30.6 35.20000076 0
1967:05 29.5 35.40000153 0
1967:06 29.5 35.70000076 0
1967:07 30.2 35.79924 0
1967:08 30.2 35.70000076 0
1967:09 30.2 35.79924 0
1967:10 30.7 35.79924 0
1967:11 35 35.79924 0
1967:12 34.9 36 0
1968:01 36.8 36.09847 0
1968:02 36.7 36.29924 0
1968:03 39.1 36.29924 1
1968:04 39.2 36.29924 0
1968:05 39.2 36.5 0
1968:06 39.2 36.70000076 0
1968:07 39.2 36.79924 0
1968:08 41.3 36.70000076 0
1968:09 41.3 36.90000153 0
1968:10 41.3 36.90000153 0
1968:11 41.3 37.09847 0
1968:12 41.3 37.09847 0
1969:01 42.2 37.29924 4
1969:02 46.2 37.29924 0
1969:03 47.4 37.5 0
1969:04 47.4 37.5 0
1969:05 43.7 37.79924 0
1969:06 42.2 38 0
1969:07 42.2 38.20000076 0
1969:08 42.2 38.09847 0
1969:09 42.2 38.20000076 0
1969:10 42.2 38.40000153 0
1969:11 42.2 38.70000076 0
1969:12 42.2 38.90000153 0
1970:01 42.2 39.09847 19
1970:02 42.2 39.09847 5
1970:03 37.5 39.20000076 0
1970:04 37.5 39 0
1970:05 37.5 39.09847 0
1970:06 37.5 39.20000076 0
1970:07 37.1 39.40000153 0
1970:08 37.3 39.20000076 0
1970:09 37.5 39.40000153 0
1970:10 35.2 39.5 0
1970:11 35.1 39.70000076 0
1970:12 35.2 39.70000076 3
1971:01 35.3 40 0
1971:02 36.6 40.20000076 7
1971:03 37.9 40.29924 0
1971:04 38.5 40.29924 0
1971:05 41.8 40.5 0
1971:06 43.1 40.59847 0
1971:07 44.6 40.59847 0
1971:08 45.2 40.70000076 0
1971:09 45.2 40.59847 0
1971:10 45.2 40.59847 0
1971:11 45.2 40.70000076 0
1971:12 45.2 41 0
1972:01 45.1 41.20000076 0
1972:02 45.1 41.40000153 0
1972:03 45.1 41.40000153 0
1972:04 45.1 41.29924 0
1972:05 45.1 41.5 0
1972:06 45.1 41.70000076 0
1972:07 45.1 42 0
1972:08 45.1 42 0
1972:09 45.1 42.09847 0
1972:10 45.1 41.90000153 0
1972:11 45.1 42.20000076 0
1972:12 45.1 42.59847 0
1973:01 45.1 43.09847 0
1973:02 45.1 43.70000076 0
1973:03 45.1 44.40000153 0
1973:04 45.1 44.70000076 0
1973:05 44 45 0
1973:06 45.1 45.40000153 0
1973:07 44 45.5 0
1973:08 44 47 0
1973:09 44 46.79924 0
1973:10 45.1 46.79924 0
1973:11 45.1 47 0
1973:12 45.1 47.59847 0
1974:01 45.3 49 1
1974:02 45 49.90000153 0
1974:03 45 50.20000076 0
1974:04 45 50.59847 0
1974:05 45 51.20000076 0
1974:06 45 51.29924 0
1974:07 45 52.79924 0
1974:08 45 53.70000076 0
1974:09 45.4 54.20000076 0
1974:10 45.9 55.29924 0
1974:11 47 56.20000076 0
1974:12 47.5 56.29924 0
1975:01 49.5 56.79924 0
1975:02 49.7 56.79924 0
1975:03 49.7 56.59847 0
1975:04 49.7 57 0
1975:05 49.7 57.40000153 0
1975:06 49.7 57.90000153 0
1975:07 49.5 58.59847 0
1975:08 49.5 58.70000076 0
1975:09 49.5 59.20000076 0
1975:10 51.5 59.90000153 0
1975:11 52 59.90000153 0
1975:12 52 60 0
1976:01 52 60.09847 1
1976:02 51.4 59.90000153 2
1976:03 51.4 59.90000153 0
1976:04 52 60.29924 0
1976:05 52 60.40000153 0
1976:06 48.8 60.59847 0
1976:07 47.7 60.79924 0
1976:08 47.7 60.70000076 0
1976:09 47.7 60.90000153 0
1976:10 47.7 61.59847 0
1976:11 47.7 61.79924 0
1976:12 45.6 62.29924 0
1977:01 44.5 62.59847 0
1977:02 60.6 63.20000076 35
1977:03 60.1 63.59847 2
1977:04 60.1 64.09847 0
1977:05 60.1 64.59847 0
1977:06 63.5 64.69695 0
1977:07 63.5 65 0
1977:08 69 65 0
1977:09 70.4 65.30000305 0
1977:10 70.4 66 0
1977:11 75.5 66.19695 0
1977:12 76.6 66.5 0
1978:01 76.6 67.09847 1
1978:02 76.6 67.59847 3
1978:03 76.7 67.80000305 1
1978:04 76.7 68.69695 0
1978:05 76.7 69.30000305 0
1978:06 76.7 69.80000305 0
1978:07 76.7 70.40000153 0
1978:08 76.7 70.19695 0
1978:09 76.7 70.69695 0
1978:10 76.7 71.59847 0
1978:11 79.7 71.90000153 0
1978:12 82.7 72.69695 0
1979:01 82.7 73.69695 4
1979:02 82.7 74.59847 0
1979:03 82.7 75.09847 0
1979:04 82.7 75.90000153 0
1979:05 82.7 76.40000153 0
1979:06 82.7 76.69695 0
1979:07 82.7 77.5 0
1979:08 82.7 78 0
1979:09 82.7 79.19695 0
1979:10 82.7 80.5 0
1979:11 82.7 81.19695 0
1979:12 82.7 82 0
1980:01 82.7 83.5 1
1980:02 82.7 84.69695 0
1980:03 82.7 85.5 9
1980:04 80.8 86.30000305 0
1980:05 80.8 86.69695 0
1980:06 79.2 87.30000305 0
1980:07 79.2 88.80000305 0
1980:08 79.2 89.59847 0
1980:09 79.2 89.59847 0
1980:10 79.2 91 0
1980:11 75.1 91.30000305 0
1980:12 75.1 91.69695 0
1981:01 76.6 93 0
1981:02 89 93.80000305 37
1981:03 99.2 94.80000305 0
1981:04 107.4 95.69695 0
1981:05 107.4 96.09847 0
1981:06 107.4 96.40000153 0
1981:07 107.4 96.90000153 0
1981:08 107.4 96.69695 0
1981:09 106.6 96.69695 0
1981:10 106.1 97.80000305 0
1981:11 102.7 97.90000153 0
1981:12 99.5 98.19695 0
1982:01 99.4 99 3
1982:02 107.3 99 16
1982:03 106.3 98.80000305 0
1982:04 103.7 98.80000305 0
1982:05 100.2 99 0
1982:06 98 99.69695 0
1982:07 98.1 100.4000015 0
1982:08 97.6 100.5985 0
1982:09 97.8 100.1969 0
1982:10 97.7 101.1969 0
1982:11 97.7 101.5 0
1982:12 96.3 101.6969 0
1983:01 96.6 101.1969 0
1983:02 95.6 101.1969 0
1983:03 95.2 101 0
1983:04 95 100.9000015 0
1983:05 96 101.3000031 0
1983:06 95.5 101.5985 0
1983:07 95.6 101.8000031 0
1983:08 95.6 102 0
1983:09 96.1 101.5985 0
1983:10 96.1 102.5 0
1983:11 96.5 102.1969 0
1983:12 96.5 102.3000031 0
1984:01 100.5 103.1969 24
1984:02 114.9 103.5985 0
1984:03 118.6 103.8000031 0
1984:04 120.8 103.8000031 0
1984:05 122.4 103.6969 0
1984:06 125.5 103.6969 0
1984:07 123.1 104.1969 0
1984:08 124.6 103.8000031 0
1984:09 128.3 103.1969 0
1984:10 130.3 103.9000015 0
1984:11 129.7 104.1969 0
1984:12 129.5 104 0
1985:01 127.3 104.0985 0
1985:02 133.1 104.1969 32
1985:03 133.2 104.0985 0
1985:04 132.9 104.4000015 0
1985:05 133.5 104.8000031 0
1985:06 132.4 104.8000031 0
1985:07 130.5 105.0985 0
1985:08 126 104.5985 0
1985:09 123.9 103.3000031 0
1985:10 119.3 105 0
1985:11 114.9 105.5985 0
1985:12 112.8 105.9000015 0
1986:01 104.4 105.5 9
1986:02 102.2 104 7
1986:03 97.6 102.5985 0
1986:04 94.4 102.3000031 0
1986:05 94.1 102.9000015 0
1986:06 94.3 103.0985 0
1986:07 94.2 102.5 0
1986:08 94.2 102.6969 0
1986:09 93.7 102.4000015 0
1986:10 96 103.5985 0
1986:11 98.6 103.5985 0
1986:12 101.4 103.5 0
1987:01 106.9 104 0
1987:02 106.9 104.0985 0
1987:03 107.4 104.3000031 0
1987:04 109.5 105.0985 0
1987:05 109.7 105.4000015 0
1987:06 110 105.5 0
1987:07 110.1 106 0
1987:08 111 105.9000015 0
1987:09 110.6 105.6969 0
1987:10 110.6 106.1969 0
1987:11 117.2 106.3000031 0
1987:12 129.9 105.8000031 0
1988:01 132.1 106.3000031 0
1988:02 140.1 106.0985 0
1988:03 142.4 106.3000031 0
1988:04 140.5 107 0
1988:05 142 107.5 0
1988:06 141.1 107.6969 0
1988:07 141.6 108.5985 0
1988:08 142 108.6969 0
1988:09 141.7 108.5985 0
1988:10 140.7 109.4000015 0
1988:11 140.8 109.8000031 0
1988:12 139.1 110 0
1989:01 136.4 111.0985 0
1989:02 127.7 111.6969 0
1989:03 126.5 112.0985 3
1989:04 126.5 113 0
1989:05 131.7 114.1969 0
1989:06 139.2 114.3000031 0
1989:07 140.6 114.0985 0
1989:08 140.3 113.4000015 0
1989:09 134 113.5985 0
1989:10 131.6 114.9000015 0
1989:11 123.1 114.9000015 0
1989:12 121.7 115.4000015 0
1990:01 137.6 117.5985 23
1990:02 162.4 117.4000015 0
1990:03 162.8 117.1969 0
1990:04 159.9 117.1969 0
1990:05 159.7 117.6969 0
1990:06 160 117.8000031 0
1990:07 160.4 118.1969 0
1990:08 160.8 119.3000031 0
1990:09 150.9 120.4000015 0
1990:10 147.2 122.3000031 0
1990:11 120.9 122.9000015 0
1990:12 117.8 122 0
1991:01 114.4 122.3000031 0
1991:02 114.4 121.4000015 0
1991:03 111.7 120.9000015 0
1991:04 111.7 121.0985 0
1991:05 111 121.8000031 0
1991:06 111 121.9000015 0
1991:07 111 121.5985 0
1991:08 107.2 121.6969 0
1991:09 107.4 121.4000015 0
1991:10 116 122.1969 0
1991:11 127.3 122.3000031 0
1991:12 131.5 121.9000015 0
1992:01 135.1 121.8000031 0
1992:02 134.7 122.0985 0
1992:03 134.7 122.1969 0
1992:04 134.3 122.4000015 0
1992:05 126.2 123.1969 0
1992:06 118.5 123.9000015 0
1992:07 115.5 123.6969 0
1992:08 114.5 123.5985 0
1992:09 112.5 123.3000031 0
1992:10 106.5 124.4000015 0
1992:11 104.2 124 0
1992:12 98.8 123.8000031 0
1993:01 91.6 124.1969 0
1993:02 88.8 124.5 0
1993:03 88.2 124.6969 0
1993:04 89 125.5 0
1993:05 89.3 125.8000031 0
1993:06 97.5 125.5 0
1993:07 104.5 125.3000031 0
1993:08 104.5 124.1969 0
1993:09 104.7 123.8000031 0
1993:10 104.7 124.5985 0
1993:11 107.9 124.5 0
1993:12 107.9 124.0985 0
1994:01 107.9 124.5 0
1994:02 104.8 124.8000031 0
1994:03 104.2 124.9000015 0
1994:04 104.2 125 0
1994:05 102.7 125.3000031 0
1994:06 101.2 125.5985 0
1994:07 100.2 126 0
1994:08 100.1 126.5 0
1994:09 99.9 125.5985 0
1994:10 99.8 125.8000031 0
1994:11 100.7 126.0985 0
1994:12 100.5 126.1969 0
1995:01 107.4 126.5985 0
1995:02 106.4 126.9000015 3
1995:03 107.6 127.0985 0
1995:04 107.6 127.5985 0
1995:05 109.1 128.1000061 0
1995:06 109.1 128.1969 0
1995:07 109.1 128.1969 0
1995:08 105.3 128.1000061 0
1995:09 101 127.9000015 0
1995:10 101.6 128.6969 0
1995:11 106.1 128.6969 0
1995:12 107.3 129.1000061 0
1996:01 109.4 129.3939 4
1996:02 112.5 129.3939 6
1996:03 117.2 130.1000061 0
1996:04 119.5 130.6000061 0
1996:05 119.5 131.1000061 0
1996:06 119.5 131.6969 0
1996:07 115.3 131.5 0
1996:08 113.6 131.8939 0
1996:09 113.6 131.8000031 0
1996:10 112.8 132.6969 0
1996:11 112.8 132.6000061 0
1996:12 108.8 132.6969 0
1997:01 106.9 132.6000061 0
1997:02 106.9 132.1969 6
1997:03 106 132.1000061 0
1997:04 107.6 131.6000061 0
1997:05 107.7 131.6000061 0
1997:06 107.3 131.6000061 0
1997:07 105.3 131.3000031 0
1997:08 105.8 131.6969 0
1997:09 102.7 131.8000031 0
1997:10 101.4 132.3000031 0
1997:11 95 131.6969 0
1997:12 94.2 131.1000061 0
1998:01 94.9 130.3000031 0
1998:02 101.2 130.1969 0
1998:03 104.1 130.1000061 0
1998:04 103.2 130.3939 0
1998:05 108.8 130.6000061 0
1998:06 109.1 130.6969 0
1998:07 109.5 131 0
1998:08 109.6 130.6969 0
1998:09 109.5 130.6000061 0
1998:10 110.2 131.3939 0
1998:11 119.1 130.8939 0
1998:12 121.2 131.1000061 0
01:01:00 119.7 131.3939 1
01:02:00 118.6 130.8000031 0
01:03:00 118 131.1000061 0
01:04:00 115.5 131.8939 0
01:05:00 113.3 132.3939 0
01:06:00 113.2 132.6969 0
01:07:00 112.5 132.8939 0
01:08:00 111.3 133.6969 0
01:09:00 112.4 134.6969 0
01:10:00 112.5 135.1000061 0
01:11:00 113.1 134.8939 0
01:12:00 112.4 134.8939 0
2000:01 110 134.6969 0
2000:02 108.9 136 0
2000:03 108 136.8000031 0
2000:04 107.1 136.6969 0
2000:05 106.9 137.3000031 0
2000:06 106.6 138.6000061 0
2000:07 105.4 138.6000061 0
2000:08 104.8 138.1969 0
2000:09 101.5 139.3939 0
2000:10 100.4 140.1000061 0
2000:11 99.8 140 0
2000:12 99.1 139.6969 0
2001:01 98.9 141.1969 13
2001:02 99.2 141.3939 0
2001:03 98.3 141 0
2001:04 98.3 141.6969 0
2001:05 96.8 142.5 0
2001:06 97.4 142.1000061 0
