ID year month ge ibm mobil crsp
107 1977 11  0.010973  0.035957  0.049293  0.045434 
108 1977 12 -0.004988  0.035985 -0.003914  0.008209 
109 1978  1 -0.082707 -0.029250 -0.046365 -0.055195 
110 1978  2 -0.021858 -0.042825 -0.016771 -0.009280 
111 1978  3  0.054190 -0.062687  0.049041  0.034004 
112 1978  4  0.120643  0.129512  0.077236  0.082844 
113 1978  5  0.011962 -0.018308 -0.010566  0.023228 
114 1978  6 -0.032624 -0.003872 -0.042636 -0.010751 
115 1978  7  0.061881  0.092323  0.028340  0.056740 
116 1978  8  0.011655  0.048950  0.055905  0.042352 
117 1978  9 -0.013364 -0.050964  0.064394 -0.006892 
118 1978 10 -0.101655 -0.046029 -0.069039 -0.110995 
119 1978 11  0.005789  0.030766  0.036965  0.033793 
120 1978 12  0.000000  0.107607  0.041276  0.017713 
121 1979  1  0.023873  0.034338  0.060541  0.049491 
122 1979  2 -0.033161 -0.017198 -0.001727 -0.026774 
123 1979  3  0.043478  0.051667  0.029412  0.065611 
124 1979  4  0.023438 -0.003962  0.078992  0.008521 
125 1979  5  0.014249 -0.021671 -0.086293 -0.013597 
126 1979  6  0.017812 -0.034539  0.088388  0.046851 
127 1979  7  0.035000 -0.049404  0.018471  0.014989 
128 1979  8  0.028986  0.015914  0.111111  0.064743 
129 1979  9 -0.033803 -0.032143  0.180000  0.001409 
130 1979 10 -0.046798 -0.079336 -0.031477 -0.072651 
131 1979 11 -0.032041  0.059880  0.050761  0.063604 
132 1979 12  0.097561 -0.013410  0.062802  0.028201 
133 1980  1  0.086420  0.066019  0.075000  0.065578 
134 1980  2 -0.073636 -0.062149  0.366167  0.001028 
135 1980  3 -0.042289 -0.122047 -0.175549 -0.120207 
136 1980  4 -0.012987 -0.015695  0.119392  0.052297 
137 1980  5  0.057895  0.024784  0.003436  0.060073 
138 1980  6  0.040404  0.060948 -0.023973  0.037710 
139 1980  7  0.092233  0.110638  0.054035  0.069447 
140 1980  8 -0.031111  0.017011 -0.058923  0.023514 
141 1980  9 -0.020642 -0.020992  0.007156  0.029481 
142 1980 10  0.028504  0.038986  0.058615  0.020038 
143 1980 11  0.143187  0.035422  0.192953  0.104928 
144 1980 12  0.002020 -0.003670 -0.081081 -0.034379 
145 1981  1  0.000000 -0.051565 -0.082043 -0.040113 
146 1981  2  0.089796  0.011417 -0.066667  0.015533 
147 1981  3  0.014981 -0.029183 -0.042125  0.046186 
148 1981  4 -0.020522 -0.060120 -0.024857 -0.011243 
149 1981  5  0.001905  0.016802 -0.091633  0.013534 
150 1981  6 -0.046768 -0.014894  0.052632 -0.010176 
151 1981  7 -0.014141 -0.030238  0.020833 -0.003053 
152 1981  8 -0.084016 -0.002494 -0.057143 -0.056263 
153 1981  9 -0.003579 -0.018141 -0.105727 -0.063748 
154 1981 10 -0.011390 -0.048499  0.024631  0.060182 
155 1981 11  0.112903  0.074951  0.038462  0.045837 
156 1981 12 -0.036439  0.043578 -0.089623 -0.028082 
157 1982  1  0.089325  0.118681 -0.015544 -0.026205 
158 1982  2  0.006000 -0.013988 -0.015789 -0.051118 
159 1982  3  0.020676 -0.034343 -0.038251 -0.010083 
160 1982  4  0.011834  0.075314 -0.011364  0.043273 
161 1982  5 -0.035088 -0.029416  0.091954 -0.028197 
162 1982  6  0.042020 -0.014228 -0.037634 -0.023914 
163 1982  7  0.033399  0.082474 -0.072626 -0.020539 
164 1982  8  0.144487  0.087390  0.156627  0.119023 
165 1982  9  0.004651  0.040780  0.042553  0.016758 
166 1982 10  0.148829  0.088586  0.020408  0.118634 
167 1982 11  0.087045  0.093709 -0.040000  0.051921 
168 1982 12  0.025676  0.112717  0.069149  0.014449 
169 1983  1  0.090909  0.027273  0.054726  0.041546 
170 1983  2  0.048309  0.009962  0.009434  0.030502 
171 1983  3 -0.024424  0.027778  0.095238  0.034707 
172 1983  4  0.065476  0.149877  0.091304  0.074271 
173 1983  5 -0.075978 -0.041026 -0.051793  0.013074 
174 1983  6  0.073277  0.080899  0.076923  0.037997 
175 1983  7 -0.093182  0.001040 -0.059524 -0.031727 
176 1983  8  0.025063  0.000623  0.118143  0.003569 
177 1983  9  0.041076  0.061715 -0.049808  0.016314 
178 1983 10 -0.018957 -0.000985 -0.032258 -0.027745 
179 1983 11  0.113527 -0.066469 -0.033333  0.029353 
180 1983 12  0.026258  0.039404  0.008772 -0.010431 
181 1984  1 -0.072495 -0.064549  0.084348 -0.012917 
182 1984  2 -0.043678 -0.025630  0.024490 -0.039171 
183 1984  3  0.064904  0.034014 -0.027888  0.013449 
184 1984  4  0.011390 -0.002193  0.028689  0.002735 
185 1984  5 -0.042793 -0.044396 -0.145817 -0.052351 
186 1984  6 -0.002353 -0.018561  0.009524  0.023593 
187 1984  7  0.000000  0.047281 -0.092453 -0.020359 
188 1984  8  0.078571  0.127314  0.260638  0.112571 
189 1984  9 -0.006623  0.004040  0.012658  0.000384 
190 1984 10  0.031390  0.011871  0.014167  0.000131 
191 1984 11 -0.027391 -0.023069 -0.041841 -0.010492 
192 1984 12  0.022573  0.011294 -0.052402  0.023797 
193 1985  1  0.128035  0.107614  0.052535  0.085734 
194 1985  2  0.004697 -0.009349  0.071429  0.017002 
195 1985  3 -0.070727 -0.052239  0.000000 -0.001930 
196 1985  4  0.000000 -0.003937  0.026667 -0.002183 
197 1985  5  0.034672  0.025494  0.028926  0.055878 
198 1985  6  0.020619 -0.037901 -0.032129  0.017188 
199 1985  7  0.036364  0.061616  0.001660 -0.000547 
200 1985  8 -0.048733 -0.027783 -0.012658 -0.004806 
201 1985  9 -0.048361 -0.021718  0.004274 -0.039657 
202 1985 10  0.002174  0.048436  0.099574  0.044577 
203 1985 11  0.138829  0.084504 -0.007874  0.069269 
204 1985 12  0.117410  0.112701 -0.039683  0.043260 
205 1986  1 -0.025773 -0.025723 -0.020661  0.009849 
206 1986  2  0.101658  0.003135 -0.002532  0.072851 
207 1986  3  0.012903  0.004143 -0.025862  0.053887 
208 1986  4 -0.004777  0.031353  0.041593 -0.008061 
209 1986  5  0.020800 -0.017760  0.082251  0.050822 
210 1986  6  0.022947 -0.038556  0.012000  0.014299 
211 1986  7 -0.098765 -0.095563 -0.022134 -0.059675 
212 1986  8  0.077055  0.055472  0.172840  0.066390 
213 1986  9 -0.078474 -0.030631  0.052632 -0.079142 
214 1986 10  0.060870 -0.080855  0.020000  0.049450 
215 1986 11  0.088525  0.037209  0.043791  0.015160 
216 1986 12  0.043735 -0.056047  0.019048 -0.026555 
217 1987  1  0.165698  0.072917  0.093458  0.128378 
218 1987  2  0.031172  0.092039 -0.021652  0.047627 
219 1987  3  0.020605  0.076165  0.123894  0.023236 
220 1987  4 -0.013111  0.066611 -0.006824 -0.017122 
221 1987  5  0.004831  0.006089 -0.002674  0.005218 
222 1987  6  0.052019  0.015625  0.091153  0.043836 
223 1987  7  0.089655 -0.009231  0.031941  0.044058 
224 1987  8  0.054852  0.052640  0.029524  0.037228 
225 1987  9 -0.010720 -0.104677 -0.081776 -0.020737 
226 1987 10 -0.229675 -0.187396 -0.178117 -0.224879 
227 1987 11 -0.105541 -0.086939 -0.150464 -0.072908 
228 1987 12  0.049558  0.042889  0.159259  0.070414 
229 1988  1  0.022663 -0.027056  0.127796  0.045348 
230 1988  2  0.008310  0.055395  0.009632  0.051609 
231 1988  3 -0.104945 -0.084043  0.005682 -0.017064 
232 1988  4  0.000000  0.053426  0.056497  0.010989 
233 1988  5  0.040248  0.001985 -0.027273  0.000938 
234 1988  6  0.052976  0.132222 -0.030641  0.051372 
235 1988  7 -0.025641 -0.012758  0.028736 -0.007179 
236 1988  8 -0.055556 -0.104573 -0.017318 -0.027928 
237 1988  9  0.082972  0.034753 -0.017291  0.037276 
238 1988 10  0.005764  0.062839  0.041056  0.017660 
239 1988 11  0.031519 -0.024669  0.016338 -0.016400 
240 1988 12  0.003556  0.028481  0.022472  0.021005 
241 1989  1  0.081006  0.071795  0.076374  0.065958 
242 1989  2 -0.054264 -0.061435 -0.036176 -0.016365 
243 1989  3 -0.018361 -0.101852  0.050938  0.021530 
244 1989  4  0.098315  0.044674  0.035714  0.048536 
245 1989  5  0.117647 -0.027763  0.027586  0.039529 
246 1989  6 -0.047414  0.020525 -0.041262 -0.004925 
247 1989  7  0.133172  0.027933  0.037975  0.077109 
248 1989  8 -0.014957  0.029000  0.083415  0.021960 
249 1989  9 -0.012408 -0.067236  0.022779 -0.001587 
250 1989 10 -0.019912 -0.082380  0.004900 -0.029390 
251 1989 11  0.119639 -0.014115  0.056054  0.017846 
252 1989 12  0.047903 -0.035851  0.063694  0.018290 
253 1990  1 -0.034884  0.047809 -0.045509 -0.070054 
254 1990  2 -0.000482  0.065501  0.044397  0.014978 
255 1990  3  0.040486  0.021661 -0.004049  0.024162 
256 1990  4 -0.003891  0.027091 -0.020325 -0.028150 
257 1990  5  0.083516  0.112018  0.055602  0.088887 
258 1990  6  0.005445 -0.020833 -0.017893 -0.004300 
259 1990  7  0.034296 -0.051064  0.068421 -0.009381 
260 1990  8 -0.134380 -0.075471 -0.021073 -0.091740 
261 1990  9 -0.113387  0.044172 -0.015656 -0.053868 
262 1990 10 -0.045872 -0.009401 -0.083897 -0.012422 
263 1990 11  0.052885  0.089775  0.035165  0.065985 
264 1990 12  0.057260 -0.005501 -0.014862  0.029549 
265 1991  1  0.115468  0.121681 -0.009052  0.049067 
266 1991  2  0.070469  0.025325  0.110132  0.075686 
267 1991  3  0.023897 -0.115534  0.023810  0.028793 
268 1991  4  0.016158 -0.095499  0.062016  0.003332 
269 1991  5  0.099081  0.042087 -0.026642  0.040607 
270 1991  6 -0.042071 -0.084806 -0.024668 -0.044247 
271 1991  7 -0.010135  0.042471  0.064981  0.046838 
272 1991  8  0.022184 -0.031259  0.011091  0.026912 
273 1991  9 -0.066644  0.069677 -0.003656 -0.011062 
274 1991 10 -0.005405 -0.051870  0.042936  0.017714 
275 1991 11 -0.061594 -0.046209 -0.078292 -0.037272 
276 1991 12  0.189961 -0.037838  0.048263  0.107055 
277 1992  1 -0.016340  0.011236 -0.058932 -0.001693 
278 1992  2  0.044850 -0.021278 -0.018787  0.013281 
279 1992  3 -0.029571 -0.038849 -0.038384 -0.023680 
280 1992  4  0.011551  0.086826  0.086134  0.013838 
281 1992  5 -0.003263  0.013333  0.018182  0.006497 
282 1992  6  0.025205  0.078512 -0.053846 -0.019241 
283 1992  7 -0.016077 -0.031928  0.058943  0.039942 
284 1992  8 -0.032680 -0.072982  0.008445 -0.020754 
285 1992  9  0.065405 -0.067821  0.005780  0.012426 
286 1992 10 -0.019169 -0.171827 -0.034483  0.010905 
287 1992 11  0.084691  0.038654 -0.023016  0.040181 
288 1992 12  0.034595 -0.261905  0.039095  0.017482 
289 1993  1  0.007310  0.022333  0.007921  0.012331 
290 1993  2 -0.023222  0.066311  0.071513  0.005486 
291 1993  3  0.066924 -0.064368  0.020408  0.025029 
292 1993  4  0.016830 -0.044226  0.030909 -0.025503 
293 1993  5  0.023448  0.095938 -0.004586  0.029422 
294 1993  6  0.039137 -0.063981  0.071685  0.005123 
295 1993  7  0.028721 -0.098734  0.008361 -0.000773 
296 1993  8 -0.002538  0.033708  0.042123  0.039344 
297 1993  9 -0.017761 -0.081967  0.049839  0.000598 
298 1993 10  0.011734  0.095238 -0.001531  0.018030 
299 1993 11  0.014175  0.176630 -0.052454 -0.017317 
300 1993 12  0.073393  0.048724  0.036007  0.019438 
301 1994  1  0.027414  0.000000  0.023697  0.031304 
302 1994  2 -0.022042 -0.059735 -0.018827 -0.024074 
303 1994  3 -0.044176  0.033097 -0.054054 -0.045743 
304 1994  4 -0.047500  0.052632  0.052101  0.009815 
305 1994  5  0.044619  0.100000  0.046006  0.009504 
306 1994  6 -0.055578 -0.067460  0.006173 -0.027381 
307 1994  7  0.080429  0.053191  0.029141  0.030411 
308 1994  8 -0.012407  0.111111  0.016095  0.042831 
309 1994  9 -0.025427  0.016423 -0.062222 -0.018664 
310 1994 10  0.015584  0.070018  0.086888  0.014875 
311 1994 11 -0.058824 -0.046980  0.001163 -0.037079 
312 1994 12  0.117609  0.038869 -0.011730  0.012752 
313 1995  1  0.009804 -0.018707  0.035312  0.020623 
314 1995  2  0.063107  0.046794  0.007236  0.039655 
315 1995  3 -0.006210  0.091362  0.064655  0.026966 
316 1995  4  0.037037  0.152207  0.024291  0.024903 
317 1995  5  0.035714 -0.014531  0.058498  0.034150 
318 1995  6 -0.020948  0.032258 -0.035176  0.030846 
319 1995  7  0.046563  0.134115  0.018229  0.040675 
320 1995  8 -0.002119 -0.048220 -0.016113  0.009336 
321 1995  9  0.089766 -0.085852  0.045932  0.036391 
322 1995 10 -0.007843  0.029101  0.011292 -0.011150 
323 1995 11  0.061265 -0.003856  0.045161  0.042984 
324 1995 12  0.079479 -0.054334  0.070659  0.015395 
325 1996  1  0.065972  0.187414 -0.008949  0.028081 
326 1996  2 -0.016287  0.132488 -0.001806  0.016042 
327 1996  3  0.037550 -0.092762  0.057013  0.011196 
328 1996  4 -0.008026 -0.031461 -0.007551  0.025130 
329 1996  5  0.071197 -0.006032 -0.009783  0.026733 
330 1996  6  0.048338 -0.072600 -0.004430 -0.007649 
331 1996  7 -0.046571  0.085859 -0.018910 -0.053415 
332 1996  8  0.010638  0.067209  0.034014  0.032191 
333 1996  9  0.100271  0.088525  0.024336  0.052988 
334 1996 10  0.063187  0.036145  0.008639  0.013957 
335 1996 11  0.074935  0.238178  0.046039  0.065701 
336 1996 12 -0.044279 -0.049412  0.009288 -0.011361 
337 1997  1  0.046776  0.035479  0.073620  0.053049 
338 1997  2 -0.006039 -0.081434 -0.056686 -0.000873 
339 1997  3 -0.030182 -0.045217  0.064155 -0.044405 
340 1997  4  0.118388  0.169399 -0.004785  0.042500 
341 1997  5  0.087838  0.079128  0.084115  0.071312 
342 1997  6  0.076605  0.043353 -0.000894  0.044189 
343 1997  7  0.082846  0.171745  0.102397  0.076272 
344 1997  8 -0.107843 -0.039480 -0.049020 -0.036411 
345 1997  9  0.092068  0.045623  0.017182  0.057970 
346 1997 10 -0.050505 -0.070755 -0.008885 -0.034091 
347 1997 11  0.143133  0.113706 -0.012017  0.031223 
348 1997 12 -0.002707 -0.044521  0.003475  0.018058 
349 1998  1  0.056218 -0.056153 -0.051082  0.004452 
350 1998  2  0.003226  0.059620  0.063066  0.072849 
351 1998  3  0.112379 -0.005386  0.060554  0.051306 
352 1998  4 -0.011603  0.115523  0.032626  0.010859 
353 1998  5 -0.021277  0.015922 -0.007014 -0.025430 
354 1998  6  0.089955 -0.022872 -0.017628  0.032986 
355 1998  7 -0.012517  0.154056 -0.082284 -0.023231 
356 1998  8 -0.105521 -0.148340 -0.008961 -0.156572 
357 1998  9 -0.001719  0.140954  0.098553  0.064033 
358 1998 10  0.099764  0.155642 -0.003292  0.074123 
359 1998 11  0.032857  0.113434  0.143782  0.061343 
360 1998 12  0.132503  0.116578  0.013081  0.063160
