Cardhldr Majordrg   Age   Income   Expinc  Avgexp   Ownrent   Selfempl Depndt  Incper  Curadd  Major  Active 
1 0 40.91667 9.9999 0.07620686 635.0508 1 0 3 2.499975 120 1 17
1 0 43.66667 10.0393 0.02186308 182.825 1 0 1 5.01965 12 1 18
1 0 23.08333 2.95 0.03642203 89.37083 1 0 0 2.95 12 1 17
1 0 41.91667 5 0.24272 1011.333 0 0 1 2.5 36 1 5
1 0 28.16667 2.4 0.1137675 227.3683 0 0 0 2.4 1 1 29
1 0 45.58333 13.5 0.01031111 115.4167 1 0 2 4.5 126 1 9
0 3 25.91667 4 3e-04 0 0 0 0 4 36 0 5
1 1 37.33333 3.9 0.0916836 297.9717 0 0 0 3.9 51 1 4
1 1 37.66667 2 0.0608075 101.2625 1 0 3 0.5 42 1 3
1 0 30.25 2.15 0.03192233 56.69417 0 0 0 2.15 12 1 4
1 0 21.25 3 0.030976 77.35667 0 0 2 1 18 0 2
1 0 40.08333 4.3 0.03419023 122.515 0 0 0 4.3 108 1 4
0 4 23.41667 9.9999 0.0001200012 0 0 0 2 3.3333 27 1 5
1 0 21.83333 2.5 0.0067932 13.4025 0 0 0 2.5 32 1 3
1 0 22.16667 3 0.05111367 127.5342 0 0 0 3 120 1 11
1 0 40.83333 2.6 0.004230769 8.333333 1 0 0 2.6 52 1 3
1 1 18.66667 1.66 0.0568759 78.42834 1 0 0 1.66 51 1 2
1 0 34.33333 4.5 0.0032 11.16667 1 1 4 0.9 30 1 6
1 0 25.08333 5 0.0316508 131.8783 0 0 0 5 38 1 16
1 0 20.08333 1.74 0.1919466 277.9892 0 0 0 1.74 8 1 11
1 0 24.75 1.875 0.08070774 126.0225 0 0 1 0.9375 14 0 1
1 0 41.91667 3 0.095609 238.8558 1 0 3 0.75 120 0 0
0 5 31.08333 4.2 0.0002857143 0 0 0 3 1.05 52 0 19
0 0 53.33333 4.9 0.000244898 0 1 1 0 4.9 108 0 1
1 0 24.25 2.13 0.02122066 37.08333 0 0 1 1.065 13 1 4
0 1 25.41667 1.7 0.0007058823 0 0 0 2 0.5666667 8 0 11
1 0 21.83333 1.68 0.1119048 156.5833 0 0 0 1.68 18 0 2
0 0 20.58333 2.64 0.0004545455 0 0 0 3 0.66 7 1 1
1 0 18.41667 1.968 0.006455285 9.753333 0 0 0 1.968 114 0 2
1 0 22 3.3 0.03947758 108.3967 0 0 0 3.3 6 1 8
1 0 21.41667 1.5896 0.2052491 271.5533 0 0 0 1.5896 180 1 16
1 0 42 3.6 0.01785056 53.30167 0 1 0 3.6 41 0 14
1 0 36.41667 3 0.1130587 282.5633 0 0 2 1 16 1 6
1 0 41.5 3.8 0.08315605 263.3275 0 0 0 3.8 67 1 4
1 0 26.5 3.36 0.002625298 6.5175 0 0 0 3.36 12 1 4
0 2 33.16667 2.3204 0.0005171522 0 0 0 0 2.3204 62 0 3
1 0 43.08333 7.8 0.006685513 43.03917 1 0 0 7.8 60 0 2
1 0 30.33333 2.5 0.0356228 73.7975 1 1 3 0.625 30 1 9
1 0 25.08333 1.5 0.0128 15.41667 0 0 1 0.75 12 1 7
1 0 35.66667 3.5822 0.1049978 313.3525 1 0 1 1.7911 84 1 10
1 1 44.5 4 0.01795825 59.19417 1 0 0 4 36 1 13
1 3 43.25 6.72 0.03142812 175.9975 1 0 3 1.68 30 1 27
1 2 50 4.3 0.03620279 129.3933 1 1 1 2.15 264 1 15
1 0 31.75 3.5 0.01055514 30.36917 1 0 1 1.75 36 1 5
0 1 43.25 3.95 0.0003037975 0 1 0 2 1.316667 27 1 4
0 5 27.16667 4 3e-04 0 1 0 0 4 37 1 7
1 0 24.91667 2.4 0.23063 461.26 0 0 1 1.2 164 0 1
1 0 49.66667 2.7 0.08877037 199.7333 1 0 0 2.7 120 0 3
1 0 28.33333 6.6 0.007129848 38.71416 0 0 2 2.2 55 1 7
1 0 26.5 2.7 0.04111704 92.26334 0 0 0 2.7 18 1 0
1 0 29.41667 4.1 0.04264756 145.3792 0 0 0 4.1 13 1 0
1 0 71.83334 7.701 0.06251058 400.9117 1 0 1 3.8505 24 1 9
1 0 24.5 2.8 0.05955571 138.7133 0 0 0 2.8 5 1 0
1 0 25.08333 3.12 0.04245641 110.3033 0 0 2 1.04 3 1 6
1 0 24.91667 2.3 0.02855478 54.64667 0 0 0 2.3 30 1 2
1 0 30.08333 3.67 0.001798365 4.583333 1 0 0 3.67 57 1 3
0 0 32.58333 6.5 0.0001846154 0 1 0 0 6.5 50 1 6
1 0 23.08333 2.56 0.1502422 320.5167 0 0 1 1.28 11 1 2
1 0 48.91667 3.5 0.067888 197.9233 1 0 0 3.5 48 1 9
1 0 25.33333 3.24 0.02563117 68.87083 0 0 0 3.24 30 1 19
1 0 25.33333 3.48 0.05121034 148.26 1 0 0 3.48 14 1 5
1 0 24.91667 2.938 0.02812798 68.53333 0 0 0 2.938 14 1 0
0 1 29.16667 2.475 0.0004848485 0 0 0 1 1.2375 12 0 5
0 5 28.58333 3.12 0.0003846154 0 0 0 0 3.12 13 0 7
0 0 32.33333 2.5 0.00048 0 0 0 1 1.25 60 1 0
1 0 26.5 3 0.04865566 121.5558 1 0 0 3 12 1 4
1 0 34.33333 6 0.017262 86.22667 1 0 1 3 48 1 5
1 0 28.41667 2.6 0.04854384 105.095 1 0 0 2.6 27 1 6
1 0 23.58333 3.9 0.01830487 58.99083 0 0 1 1.95 14 1 7
0 1 30.83333 2.5 0.00048 0 0 0 0 2.5 18 1 6
0 1 34.66667 3.3 0.0003636364 0 0 0 3 0.825 48 0 3
1 0 31.5 5.905 0.0251939 123.8917 0 0 1 2.9525 12 1 2
1 1 36.16667 7.8 0.01210897 78.54166 1 0 1 3.9 24 1 18
0 3 32.41667 2.06 0.0005825243 0 0 0 0 2.06 48 1 8
1 0 31.25 5.6965 0.008123409 38.0625 1 1 2 1.898833 84 0 26
1 0 28.08333 2.16 0.02572685 46.14167 0 0 2 0.72 7 1 0
0 3 41.58333 4.6 0.0002608696 0 0 0 0 4.6 57 1 3
1 0 21.75 3.5 0.090862 265.0142 0 0 2 1.166667 42 1 9
1 0 30.25 2.55 0.03532235 74.72667 1 0 1 1.275 11 1 0
1 0 43.5 1.7472 0.07401385 107.7642 1 0 0 1.7472 18 0 2
1 0 29.58333 1.95 0.004564103 6.5 1 0 2 0.65 96 1 2
1 0 33.75 5 0.0501734 209.0558 1 0 3 1.25 10 1 10
1 0 24.16667 2.8896 0.08017754 193.0675 0 0 0 2.8896 12 0 0
1 0 25.41667 2.7 0.06417074 144.3842 1 0 1 1.35 17 1 8
1 0 24.25 4 0.1076917 358.9725 0 0 0 4 7 1 10
1 0 24.08333 2.3 0.03099 59.1475 0 0 0 2.3 12 1 0
1 0 32 2.4 5e-04 0 0 0 1 1.2 11 1 8
0 0 46.16667 2.6 0.0004615385 0 0 0 0 2.6 61 1 8
1 0 21.91667 2.4 0.2326392 465.195 1 0 1 1.2 168 1 4
1 0 36.25 2.52 0.06781389 142.2425 0 0 2 0.84 53 0 3
1 0 23.83333 1.56 0.3860019 501.8025 0 0 0 1.56 33 0 1
1 0 49.41667 2.4 0.04437958 88.5925 0 1 0 2.4 14 1 6
1 0 26.08333 2 0.1700255 282.8758 0 0 0 2 2 1 2
1 1 29.16667 2.58 0.1680209 361.1617 0 0 0 2.58 6 1 12
1 0 33 3.15 0.05726571 150.1767 0 1 0 3.15 128 0 3
1 0 29.33333 2.3 0.04004043 76.24416 0 0 2 0.7666667 24 0 5
1 0 47.58333 4.65 0.01516022 58.24583 0 0 2 1.55 25 1 11
1 0 21.58333 3.12 0.03396795 88.23333 0 0 0 3.12 56 1 3
1 0 30.41667 2 0.0048 7.083333 1 0 3 0.5 45 1 14
0 6 62.91667 2.55 0.0004705882 0 0 0 2 0.85 20 0 13
1 1 21.58333 2.46 0.1409972 289.0442 0 0 1 1.23 4 1 11
1 0 30.66667 3.8 0.03251895 102.9767 0 0 0 3.8 26 0 1
1 0 47.75 2.6372 0.006635826 13.91667 1 0 0 2.6372 4 1 12
1 1 39.75 7 0.109958 641.4216 1 0 2 2.333333 30 0 22
0 0 53.16667 2.8 0.0004285714 0 0 0 1 1.4 156 0 11
0 0 22.83333 3.1475 0.000381255 0 0 0 2 1.049167 19 0 0
0 1 24.91667 6 2e-04 0 0 0 2 2 17 1 2
1 0 25.16667 3.25 0.03124 84.275 0 0 0 3.25 6 1 17
1 0 61.08333 4.32 0.03697246 132.8508 1 0 1 2.16 252 0 0
1 0 29.16667 2.5 0.0767256 159.595 0 0 0 2.5 7 1 21
1 0 35.33333 3 0.054018 135.045 0 0 1 1.5 6 1 8
1 0 26.08333 3.5 0.08595 250.5208 0 0 0 3.5 52 1 2
1 0 42.75 4.56 0.04965899 188.6208 0 0 0 4.56 144 1 11
1 0 27.58333 2.76 0.01036232 23.25 0 0 0 2.76 30 1 1
1 0 22.5 2.535 0.1013325 214.065 1 0 2 0.845 23 1 9
0 7 40.91667 3.2388 0.0003705076 0 0 0 0 3.2388 50 1 16
0 2 35.16667 3.84 0.0003125 0 0 0 0 3.84 38 0 2
1 0 32.83333 1.32 0.03875531 42.63083 0 0 1 0.66 6 1 2
0 0 25.83333 3.9 0.0003076923 0 0 0 0 3.9 18 1 3
0 0 56.91667 2.04 0.0005882353 0 1 0 0 2.04 35 1 11
1 1 30.16667 7.2904 0.07818501 474.5 1 0 4 1.45808 43 1 14
1 0 25.08333 7.5 0.04870107 304.3817 1 0 0 7.5 300 1 8
1 0 34.58333 3.2604 0.02910716 78.75083 0 0 1 1.6302 31 1 6
1 0 24.66667 1.632 0.1754246 238.3275 0 0 1 0.816 4 1 5
1 0 40.75 8 0.04667138 311.1425 1 0 2 2.666667 38 1 0
1 0 31.33333 2.2 0.04216182 77.04667 1 0 2 0.7333333 17 1 16
1 0 27.83333 5 0.0289768 120.4033 1 0 1 2.5 24 1 0
1 0 30.83333 3 0.062629 156.5725 1 0 2 1 72 1 8
1 0 46.25 2 0.00685 10.58333 1 0 0 2 76 1 1
1 0 20.5 1.54 0.08959676 114.8158 0 0 0 1.54 6 1 2
0 0 28 1.5 8e-04 0 0 0 1 0.75 5 0 0
1 0 51.66667 3 0.07210633 179.7658 1 0 0 3 121 1 0
1 1 41.83333 5 0.1501082 625.3675 1 0 3 1.25 84 1 7
1 0 51.75 4.7232 0.02165545 84.9025 1 0 1 2.3616 60 0 0
1 0 53.5 1.5 8e-04 0 1 0 0 1.5 57 0 6
1 0 26.08333 2.3 0.03560869 67.66666 0 0 0 2.3 24 1 0
1 0 20.5 1.6 0.08383188 111.6925 0 0 0 1.6 3 1 0
1 0 27.75 2.2 0.1403464 257.3017 0 0 0 2.2 3 0 1
1 0 23.25 4.32 0.1877141 675.7708 0 0 2 1.44 36 1 11
0 0 23.08333 2.6 0.0004615385 0 0 1 0 2.6 37 1 7
1 0 20.33333 1.6752 0.1757384 245.3308 0 0 0 1.6752 10 1 0
1 0 83.5 2.8725 0.005848564 13.33333 1 1 0 2.8725 38 0 11
1 0 24.5 2.6 0.06905923 149.545 0 1 0 2.6 21 1 2
1 0 33.75 2.9 0.104841 253.3658 1 0 2 0.9666667 14 1 20
1 0 25.08333 2.65 0.009650944 20.47917 0 0 0 2.65 12 1 9
1 0 26.91667 1.9 0.02667368 41.81667 0 0 0 1.9 18 1 9
1 0 65.91666 2.95 0.04856136 118.7133 1 0 1 1.475 230 1 19
1 0 21.58333 3.12 0.08677917 225.4592 0 0 1 1.56 10 0 6
1 0 35 4.1125 0.02962699 101.2008 1 0 1 2.05625 37 1 23
0 1 46 6 2e-04 0 1 0 2 2 84 1 46
1 0 25.33333 2 0.006652 10.42 0 0 0 2 24 1 19
0 2 35.91667 3.38 0.0003550296 0 1 0 2 1.126667 18 1 15
1 0 33.66667 3.5 0.002742857 7.166667 0 0 0 3.5 12 1 0
1 0 30.08333 2.6 0.005961538 12.08333 1 0 4 0.52 51 1 16
0 11 26.41667 3.5 0.0003428572 0 0 0 0 3.5 14 0 27
1 1 24.58333 2.8 0.06297679 146.8625 0 0 0 2.8 14 1 11
1 0 37.75 5.9 0.06604102 324.6183 1 0 3 1.475 28 1 11
1 0 46.25 5.4 0.05977204 268.7242 1 0 4 1.08 204 1 7
1 0 29.5 2.8 0.1067854 249.1658 0 0 0 2.8 50 1 3
1 0 43.83333 3.9 0.01558974 50.08333 1 0 3 0.975 179 1 6
1 0 46.91667 3.4 0.03101882 87.63667 0 0 0 3.4 42 1 4
1 0 21.83333 2.08 0.1174231 203.3667 0 0 0 2.08 5 1 0
1 0 57.66667 2.5 0.05074 105.125 1 0 0 2.5 24 1 13
1 1 23.66667 1.95 0.03098154 50.17833 0 0 0 1.95 3 1 4
1 0 25.66667 2.1 0.18692 327.11 0 0 0 2.1 15 1 6
0 0 30.66667 3 4e-04 0 1 0 1 1.5 28 1 6
1 1 34.83333 3.2 0.06567625 175.1367 1 0 2 1.066667 25 1 8
0 4 37.5 2.6 0.0004615385 0 0 0 0 2.6 40 1 14
1 0 40.33333 3.067 0.1596997 408.0825 0 0 2 1.022333 18 0 0
1 0 24.41667 2.8 0.0146375 33.57083 0 0 0 2.8 60 1 11
1 0 31.25 4.8 0.1011433 404.49 1 0 0 4.8 30 1 13
0 0 41.16667 4.74 0.0002531646 0 1 0 0 4.74 13 1 0
1 0 29.83333 2.8 0.03458607 80.45084 1 0 0 2.8 80 1 14
1 0 35.91667 4.2 0.002619048 8.333333 1 0 4 0.84 59 1 13
1 0 42.91667 4 0.07213325 240.2775 0 0 2 1.333333 180 1 9
0 4 25.83333 1.65 0.0007272727 0 0 0 0 1.65 36 1 5
1 0 34.16667 4.3 0.0249386 88.94667 0 0 1 2.15 12 1 2
1 0 63.5 6.4532 0.0001859543 0 1 0 0 6.4532 42 1 13
1 1 21.91667 3 0.004701667 11.00417 0 0 1 1.5 18 0 7
1 0 21.25 1.75 0.1932389 281.8067 0 0 0 1.75 6 0 3
0 0 22.33333 1.8 0.0006666667 0 0 0 0 1.8 3 0 6
1 0 22.91667 2.15 0.009956279 17.17167 0 0 0 2.15 12 1 1
0 0 23.83333 7.88 0.0001522843 0 0 1 4 1.576 6 1 9
0 2 26.83333 2.6 0.0004615385 0 0 0 0 2.6 12 1 9
1 0 35.83333 2.42 0.05948347 119.625 1 0 0 2.42 56 1 10
1 0 41.08333 2.8 0.03716286 86.54667 1 0 0 2.8 48 0 6
1 0 40.75 3.64 0.03113791 94.11833 0 0 1 1.82 41 1 1
1 1 53.58333 9.9999 0.0998702 832.2433 1 0 3 2.499975 120 1 3
0 0 20.75 1.95 0.0006153846 0 0 0 0 1.95 14 0 1
1 2 34.83333 6.5 0.1407468 762.3784 1 0 0 6.5 12 1 13
1 0 32.16667 3.805 0.008436268 26 1 0 0 3.805 51 1 7
1 0 40.75 2.15 0.1270335 227.6017 0 0 1 1.075 67 0 16
1 2 38.58333 4 0.1139598 379.8658 0 0 0 4 120 1 8
1 0 22.41667 3.1 0.2400213 620.055 0 0 0 3.1 3 1 0
0 0 31 4.0104 0.000299222 0 0 0 0 4.0104 42 1 0
1 0 29.08333 4.58 0.01286856 48.615 0 0 0 4.58 50 1 7
1 0 33.75 1.8 0.1306339 195.4508 1 0 3 0.45 12 1 2
0 4 38 1.7095 0.0007019597 0 0 0 2 0.5698333 42 1 2
1 0 21.91667 2.2593 0.06498916 122.1917 1 0 0 2.2593 6 1 0
1 0 26.41667 3.5 0.1319654 384.8992 0 0 2 1.166667 12 1 0
1 0 40.33333 9.9999 0.01560016 129.3333 1 0 4 1.99998 72 1 21
1 0 23.75 1.5678 0.0007654037 0 1 0 1 0.7839 6 1 0
1 0 37.58333 2.9623 0.002227999 4.583333 1 1 1 1.48115 93 1 13
1 1 27.75 2.7 0.09362111 210.6475 0 0 0 2.7 9 1 13
1 0 21.66667 2.16 0.1106287 198.5483 1 0 0 2.16 18 1 7
1 0 26.16667 4 0.0012 3.166667 0 0 2 1.333333 18 0 0
0 5 31.75 4.5 0.0002666667 0 1 0 0 4.5 36 1 11
0 0 33.75 1.8 0.0006666667 0 1 0 2 0.6 11 1 13
1 0 27.33333 2.75 0.06718982 153.7267 0 0 0 2.75 6 1 3
1 0 39.75 2.42 0.01701942 34.15583 1 0 1 1.21 49 1 25
0 0 23.25 2.25 0.0005333333 0 0 0 3 0.5625 12 1 0
0 0 23.91667 1.2 0.001 0 0 0 0 1.2 15 0 0
0 2 28.16667 2.6 0.0004615385 0 1 0 2 0.8666667 31 1 3
0 0 26.33333 1.5 8e-04 0 0 0 0 1.5 8 1 0
1 0 25.33333 2.1 0.1966748 344.1808 1 0 1 1.05 22 1 19
1 0 0.1666667 3.24 0.1843664 497.7058 1 0 3 0.81 25 1 16
0 0 36.58333 2.22 0.0005405406 0 1 0 2 0.74 4 1 0
0 2 34.83333 4.9 0.000244898 0 0 0 2 1.633333 408 1 3
1 0 41.58333 2.3 0.04575044 87.105 1 0 0 2.3 42 1 12
0 2 28.33333 3.3 0.0003636364 0 0 0 1 1.65 36 1 17
0 3 44.58333 2.5 0.00048 0 1 0 2 0.8333333 62 1 18
1 0 34 2.205 0.04400998 80.86833 1 0 2 0.735 4 1 10
1 1 35.83333 2.4 0.071715 143.3467 1 0 0 2.4 27 1 18
1 0 22 2.7 0.04682963 105.2833 0 0 0 2.7 15 1 7
1 0 34 3.7 0.1893335 583.7783 1 1 2 1.233333 5 1 2
0 5 27.66667 2.12 0.0005660377 0 0 0 0 2.12 44 1 10
1 0 34.5 6.2 0.1840382 950.8641 1 0 0 6.2 60 1 11
1 0 40.33333 2.5 0.0509016 105.9617 0 0 1 1.25 24 1 2
0 1 24.25 2 6e-04 0 0 0 0 2 52 0 3
0 0 30.16667 2.4 5e-04 0 0 1 2 0.8 72 1 11
1 0 45 4.03 0.04091464 137.0717 0 0 0 4.03 72 1 2
0 0 31.66667 3 4e-04 0 0 0 0 3 12 0 0
1 0 24.91667 2.9 0.0005086207 0.3125 1 0 0 2.9 60 1 8
1 0 27.83333 1.99 0.06038794 100.1433 1 0 1 0.995 12 1 5
1 0 56.91667 1.92 0.2004224 320.6758 1 1 1 0.96 64 1 9
1 1 34.41667 5 0.1640628 683.4283 1 1 1 2.5 108 1 6
0 2 32.58333 2.16 0.0005555556 0 1 0 1 1.08 38 0 8
1 0 26.58333 2.2 0.07969773 145.6958 0 0 0 2.2 30 1 3
1 0 20.41667 2.2375 0.05063821 93.91917 0 0 0 2.2375 27 1 1
0 2 40 2.4 5e-04 0 0 0 0 2.4 72 1 6
1 0 40.16667 1.9 0.1059958 167.8267 1 0 3 0.475 108 1 17
1 0 25.66667 5.5 0.1535069 703.4067 1 0 1 2.75 30 1 13
0 0 32.08333 2.16 0.0005555556 0 0 0 0 2.16 42 0 0
1 2 26 7 0.221529 1292.003 0 1 0 7 13 1 31
0 3 36.91667 2.6 0.0004615385 0 1 0 1 1.3 54 1 14
0 0 22.66667 2.5 0.00048 0 0 0 0 2.5 27 1 0
1 0 28.25 3.9 0.07661206 248.9058 0 0 0 3.9 48 1 10
1 0 49.16667 5.2 0.01664154 71.53 1 0 1 2.6 15 1 6
1 1 24.16667 3.25 0.1285348 347.9483 0 0 0 3.25 12 0 5
1 0 32.66667 3.6 0.001833333 4.583333 0 0 0 3.6 25 1 2
1 0 32.58333 10 0.09980781 831.7317 1 0 3 2.5 7 1 28
1 0 36 3.7 0.03311243 101.7633 1 0 2 1.233333 6 0 18
