year	state	inc	def	tpop	yd	ydpc	esrcb	esrcbpc	esrcd	resrcd	esrcbg	esrcbgpc	esrcdg	resrcdg	hdd	cdd
1970	AL	9044678	35.7	3444	25335232.49	7356.34	39.33	0.01	4.62	12.94	57.51	0.02	1.1	3.07	0.3	0.2
1971	AL	9898134	37.4	3497	26465598.93	7568.09	41.75	0.01	4.89	13.08	56.57	0.02	1.15	3.08	0.23	0.19
1972	AL	10908480	38.8	3539	28114639.18	7944.23	45.54	0.01	5.14	13.26	55.05	0.02	1.23	3.16	0.28	0.18
1973	AL	12355803	41	3580	30136104.88	8417.91	50.17	0.01	5.73	13.97	57.3	0.02	1.33	3.24	0.22	0.19
1974	AL	13691859	45.2	3626	30291723.45	8354.03	50.11	0.01	6.71	14.84	56.65	0.02	1.51	3.34	0.27	0.17
1975	AL	15359216	48.9	3679	31409439.67	8537.49	45.75	0.01	8.05	16.47	53.83	0.01	1.52	3.12	0.27	0.17
1976	AL	17271985	51.8	3735	33343600.39	8927.34	48.07	0.01	8.71	16.81	58.45	0.02	1.94	3.74	0.35	0.15
1977	AL	19061334	55.4	3780	34406740.07	9102.31	52.02	0.01	10.42	18.82	58.12	0.02	2.24	4.05	0.34	0.21
1978	AL	21520810	59.4	3832	36230319.87	9454.68	53.7	0.01	10.77	18.13	58.65	0.02	2.63	4.42	0.29	0.2
1979	AL	23938766	64.7	3866	36999638.33	9570.52	51.28	0.01	12.33	19.06	53.91	0.01	3.56	5.5	0.3	0.17
1980	AL	26305506	71.4	3894	36842445.38	9461.34	56.19	0.01	14.44	20.22	54.09	0.01	3.91	5.48	0.31	0.21
1981	AL	29072495	77.8	3929	37368245.5	9510.88	54.29	0.01	16.17	20.78	51.97	0.01	4.61	5.93	0.29	0.19
1982	AL	30837041	82.2	3945	37514648.42	9509.42	53.85	0.01	18.6	22.63	49.37	0.01	5.31	6.47	0.29	0.18
1983	AL	32947548	86.2	3963	38222213.46	9644.77	53.96	0.01	19.4	22.5	50.09	0.01	6	6.96	0.31	0.17
1984	AL	36289519	89.6	3991	40501695.31	10148.26	58.05	0.01	20.32	22.68	52.19	0.01	6.06	6.77	0.27	0.18
1985	AL	38411097	93.1	4022	41257891.51	10258.05	58.63	0.01	18.74	20.12	45.35	0.01	6.18	6.63	0.26	0.19
1986	AL	41213575	96	4051	42930807.29	10597.58	62.3	0.02	18.95	19.74	46.27	0.01	6.3	6.56	0.27	0.21
1987	AL	43344173	100	4084	43344173	10613.17	65.83	0.02	18.92	18.92	50.69	0.01	6.43	6.43	0.3	0.19
1988	AL	46768455	104.2	4103	44883354.13	10939.16	67.02	0.02	19.06	18.29	50.33	0.01	6.33	6.07	0.26	0.18
1989	AL	49717416	109.3	4118	45487114.36	11045.92	67.7	0.02	19.31	17.66	49.56	0.01	6.09	5.57	0.27	0.17
1990	AL	53455565	115	4041	46483100	11502.87	70.69	0.02	19.32	16.8	46.73	0.01	6.38	5.55	0.24	0.2
1970	AR	4852283	35.7	1923	13591829.13	7068.03	14.74	0.01	6.82	19.1	60.03	0.03	0.75	2.1	0.34	0.19
1971	AR	5430089	37.4	1972	14518954.55	7362.55	16.16	0.01	6.92	18.5	48.93	0.02	0.78	2.1	0.28	0.18
1972	AR	6072676	38.8	2019	15651226.8	7751.97	18.71	0.01	7.08	18.25	47.39	0.02	0.83	2.13	0.36	0.19
1973	AR	7202395	41	2059	17566817.07	8531.72	20.96	0.01	7.03	17.15	48.78	0.02	0.87	2.13	0.28	0.18
1974	AR	7983969	45.2	2101	17663648.23	8407.26	20.75	0.01	8.46	18.72	43.98	0.02	1.06	2.35	0.33	0.16
1975	AR	8861293	48.9	2160	18121253.58	8389.47	26.45	0.01	9.35	19.13	48.3	0.02	1.12	2.29	0.3	0.17
1976	AR	9704803	51.8	2170	18735140.93	8633.71	26.43	0.01	10.72	20.69	49.15	0.02	1.23	2.38	0.39	0.14
1977	AR	10905280	55.4	2209	19684620.94	8911.1	30.08	0.01	11.91	21.49	50.04	0.02	1.94	3.5	0.4	0.22
1978	AR	12747425	59.4	2243	21460311.45	9567.68	31.81	0.01	12.42	20.91	47.9	0.02	1.96	3.3	0.38	0.19
1979	AR	13920474	64.7	2271	21515415.77	9473.98	30.24	0.01	12.89	19.92	50.68	0.02	1.54	2.39	0.36	0.16
1980	AR	14889205	71.4	2286	20853228.29	9122.15	34.89	0.02	15.58	21.82	46.56	0.02	2.49	3.49	0.33	0.22
1981	AR	16824705	77.8	2301	21625584.83	9398.34	28.75	0.01	16.55	21.28	42.59	0.02	3.06	3.93	0.35	0.18
1982	AR	17466727	82.2	2308	21249059.61	9206.7	29.4	0.01	19.15	23.3	44.69	0.02	3.84	4.67	0.34	0.18
1983	AR	18626033	86.2	2326	21607926.91	9289.74	30.02	0.01	21.2	24.6	43.67	0.02	4.32	5.01	0.38	0.18
1984	AR	20590652	89.6	2346	22980638.39	9795.67	29.9	0.01	21.12	23.57	46.77	0.02	4.29	4.79	0.33	0.17
1985	AR	22122695	93.1	2360	23762293.23	10068.77	30.49	0.01	21.91	23.53	40.86	0.02	4.35	4.68	0.3	0.19
1986	AR	23335732	96	2371	24308054.17	10252.24	31.57	0.01	22.68	23.63	39.04	0.02	4.77	4.97	0.33	0.2
1987	AR	24236102	100	2388	24236102	10149.12	33.12	0.01	22.46	22.46	40.56	0.02	4.57	4.57	0.35	0.2
1988	AR	25933529	104.2	2396	24888223.61	10387.41	33.93	0.01	22.31	21.41	43.16	0.02	4.78	4.59	0.33	0.18
1989	AR	27448607	109.3	2406	25113089.66	10437.69	33.97	0.01	22.78	20.84	42.49	0.02	4.83	4.42	0.31	0.15
1990	AR	29365683	115	2351	25535376.52	10861.5	36.02	0.02	23.65	20.57	39.48	0.02	5.06	4.4	0.31	0.19
1970	AZ	5934215	35.7	1775	16622450.98	9364.76	14.76	0.01	6.99	19.59	31.43	0.02	1.13	3.17	0.23	0.26
1971	AZ	6808518	37.4	1896	18204593.58	9601.58	16.82	0.01	6.92	18.5	34.54	0.02	1.16	3.1	0.22	0.24
1972	AZ	7754568	38.8	2008	19986000	9953.19	19.85	0.01	7.34	18.92	36.09	0.02	1.18	3.04	0.28	0.27
1973	AZ	9125533	41	2124	22257397.56	10479	22.92	0.01	7.78	18.97	38.17	0.02	1.3	3.17	0.22	0.26
1974	AZ	10255674	45.2	2223	22689544.25	10206.72	24.21	0.01	9.3	20.58	34.34	0.02	1.41	3.12	0.27	0.27
1975	AZ	11142830	48.9	2285	22786973.42	9972.42	24.35	0.01	11.67	23.87	39.81	0.02	1.46	2.99	0.22	0.24
1976	AZ	12407792	51.8	2346	23953266.41	10210.26	24.9	0.01	12.32	23.79	42.23	0.02	2.02	3.9	0.23	0.25
1977	AZ	13885626	55.4	2425	25064306.86	10335.8	26.8	0.01	14.05	25.36	40.35	0.02	2.48	4.47	0.19	0.28
1978	AZ	16355376	59.4	2515	27534303.03	10948.03	28.63	0.01	14.91	25.1	32.07	0.01	2.88	4.85	0.25	0.28
1979	AZ	19280355	64.7	2636	29799621.33	11304.86	31.75	0.01	16.53	25.55	30.73	0.01	3.37	5.2	0.21	0.27
1980	AZ	22326294	71.4	2718	31269319.33	11504.53	32.88	0.01	18.28	25.61	30.86	0.01	3.88	5.43	0.18	0.27
1981	AZ	25071014	77.8	2807	32224953.73	11480.21	32.52	0.01	20.21	25.98	27.74	0.01	4.39	5.64	0.2	0.3
1982	AZ	26388503	82.2	2886	32102801.7	11123.63	32.43	0.01	22.63	27.54	31.07	0.01	5.62	6.83	0.24	0.26
1983	AZ	29401040	86.2	2963	34107935.03	11511.28	35.58	0.01	22.82	26.48	30.59	0.01	6.35	7.37	0.21	0.27
1984	AZ	33399474	89.6	3053	37276198.66	12209.69	37.91	0.01	23.47	26.19	28.87	0.01	6.85	7.64	0.23	0.27
1985	AZ	37022521	93.1	3161	39766402.79	12580.32	41.79	0.01	24.18	25.97	29.94	0.01	6.69	7.19	0.19	0.28
1986	AZ	40498399	96	3281	42185832.29	12857.61	42.79	0.01	25.37	26.43	26.35	0.01	6.06	6.31	0.22	0.28
1987	AZ	43311827	100	3397	43311827	12750.02	47.16	0.01	25.09	25.09	29.47	0.01	5.89	5.89	0.22	0.29
1988	AZ	46420826	104.2	3483	44549737.04	12790.62	50.26	0.01	25.65	24.61	29.17	0.01	6.76	6.49	0.19	0.3
1989	AZ	49191447	109.3	3556	45005898.44	12656.33	52.02	0.01	25.93	23.72	28.24	0.01	6.66	6.09	0.21	0.31
1990	AZ	52387670	115	3665	45554495.65	12429.6	52.47	0.01	26.49	23.03	29.26	0.01	6.64	5.77	0.22	0.29
1970	CA	83445833	35.7	19971	233741829.13	11704.06	122.07	0.01	6.53	18.3	582.38	0.03	0.93	2.62	0.29	0.08
1971	CA	89519783	37.4	20346	239357708.56	11764.36	133.3	0.01	6.78	18.13	665.07	0.03	0.98	2.62	0.28	0.08
1972	CA	95925743	38.8	20585	247231296.39	12010.26	140.95	0.01	7.22	18.6	669.75	0.03	1.03	2.65	0.3	0.08
1973	CA	107013642	41	20869	261008882.93	12507.01	148.41	0.01	7.72	18.84	646.76	0.03	1.11	2.7	0.28	0.07
1974	CA	119481445	45.2	21174	264339480.09	12484.15	145.12	0.01	9.89	21.88	611.39	0.03	1.31	2.9	0.3	0.08
1975	CA	132721462	48.9	21538	271414032.72	12601.64	151.01	0.01	10.68	21.84	666.72	0.03	1.49	3.05	0.27	0.06
1976	CA	147282499	51.8	21936	284329148.65	12961.76	156.1	0.01	11.19	21.59	630.45	0.03	1.68	3.25	0.26	0.07
1977	CA	162807788	55.4	22352	293876873.65	13147.68	158.85	0.01	12.41	22.4	568.93	0.03	1.8	3.24	0.22	0.08
1978	CA	186184049	59.4	22836	313441159.93	13725.75	168.28	0.01	13.13	22.1	565.13	0.02	1.89	3.18	0.29	0.09
1979	CA	211834802	64.7	23257	327410822.26	14077.95	178.86	0.01	13.1	20.25	619.07	0.03	2.36	3.64	0.24	0.09
1980	CA	240058030	71.4	23668	336215728.29	14205.5	177.46	0.01	17.18	24.07	552.41	0.02	3.37	4.72	0.22	0.08
1981	CA	269818324	77.8	24265	346810185.09	14292.61	180.15	0.01	19.09	24.53	509.93	0.02	3.58	4.6	0.27	0.11
1982	CA	289877551	82.2	24783	352649088.81	14229.48	176.99	0.01	22.47	27.33	562.52	0.02	4.24	5.16	0.27	0.07
1983	CA	314119208	86.2	25307	364407433.87	14399.47	183.81	0.01	20.88	24.23	518.96	0.02	5.2	6.03	0.22	0.09
1984	CA	348669951	89.6	25777	389140570.31	15096.43	192.89	0.01	20.73	23.14	490.01	0.02	5.62	6.28	0.28	0.12
1985	CA	376152185	93.1	26355	404030273.9	15330.31	196.19	0.01	22.8	24.49	547.79	0.02	5.51	5.91	0.23	0.09
1986	CA	403693246	96	26999	420513797.92	15575.16	196.33	0.01	23.26	24.22	481.28	0.02	4.95	5.16	0.25	0.08
1987	CA	427087391	100	27655	427087391	15443.41	205.98	0.01	23.55	23.55	516.57	0.02	5.13	5.13	0.25	0.08
1988	CA	461262960	104.2	28323	442670786.95	15629.37	220.55	0.01	25.02	24.01	511.45	0.02	5.48	5.26	0.25	0.09
1989	CA	490884657	109.3	29063	449116795.06	15453.22	219.55	0.01	27.69	25.34	532.7	0.02	5.4	4.94	0.25	0.08
1990	CA	528275563	115	29760	459370054.78	15435.82	227.15	0.01	29.26	25.44	530.81	0.02	5.6	4.87	0.27	0.1
1970	CO	7785169	35.7	2210	21807196.08	9867.51	13.17	0.01	7.73	21.66	80.45	0.04	0.74	2.07	0.74	0.03
1971	CO	8804818	37.4	2304	23542294.12	10218.01	14.36	0.01	7.78	20.79	82.66	0.04	0.77	2.05	0.71	0.02
1972	CO	9794262	38.8	2405	25242943.3	10496.03	15.93	0.01	8.03	20.69	89.2	0.04	0.78	2.02	0.81	0.02
1973	CO	11331282	41	2496	27637273.17	11072.63	17.75	0.01	8.07	19.69	96.53	0.04	0.84	2.05	0.7	0.02
1974	CO	12649382	45.2	2541	27985358.41	11013.52	18.37	0.01	8.84	19.56	89.91	0.04	1.02	2.26	0.77	0.03
1975	CO	14068928	48.9	2586	28770813.91	11125.6	17.54	0.01	9.94	20.33	89.52	0.03	1.29	2.64	0.7	0.02
1976	CO	15546134	51.8	2632	30011841.7	11402.68	18.26	0.01	10.31	19.9	96.77	0.04	1.41	2.72	0.71	0.02
1977	CO	17330748	55.4	2696	31282938.63	11603.46	18.86	0.01	10.76	19.42	88.74	0.03	1.83	3.3	0.7	0.04
1978	CO	20000225	59.4	2767	33670412.46	12168.56	20.29	0.01	11.32	19.05	79.32	0.03	2.25	3.79	0.79	0.03
1979	CO	22994473	64.7	2849	35540143.74	12474.6	21.89	0.01	12.44	19.22	86.03	0.03	2.81	4.35	0.74	0.02
1980	CO	26550522	71.4	2890	37185605.04	12866.99	22.84	0.01	15	21.01	89.23	0.03	3.26	4.56	0.63	0.04
1981	CO	30451166	77.8	2984	39140316.2	13116.73	29	0.01	17.2	22.11	74.66	0.03	4.19	5.39	0.7	0.04
1982	CO	33311234	82.2	3072	40524615.57	13191.61	30.92	0.01	19.61	23.86	84.77	0.03	4.89	5.95	0.75	0.03
1983	CO	36690251	86.2	3148	42564096.29	13521	32.46	0.01	19.72	22.88	84.71	0.03	5.48	6.36	0.77	0.04
1984	CO	40367567	89.6	3189	45053088.17	14127.65	29.58	0.01	19.76	22.05	93.65	0.03	5.23	5.84	0.74	0.03
1985	CO	42357056	93.1	3232	45496300.75	14076.83	30.24	0.01	20.28	21.79	90.08	0.03	5.11	5.48	0.7	0.03
1986	CO	44385366	96	3265	46234756.25	14160.72	30.24	0.01	20.6	21.46	81.41	0.02	4.99	5.2	0.73	0.03
1987	CO	45415493	100	3294	45415493	13787.34	31.45	0.01	20.01	20.01	86.3	0.03	4.74	4.74	0.74	0.02
1988	CO	47962410	104.2	3300	46029184.26	13948.24	32.59	0.01	20.31	19.5	93.52	0.03	4.39	4.21	0.72	0.03
1989	CO	50496103	109.3	3317	46199545.29	13928.11	32.74	0.01	20.56	18.81	92.69	0.03	4.57	4.18	0.72	0.02
1990	CO	53435253	115	3294	46465437.39	14106.08	33.39	0.01	20.57	17.89	92.41	0.03	4.55	3.96	0.71	0.03
1970	CT	13108769	35.7	3032	36719240.9	12110.57	21.82	0.01	7.21	20.19	31.69	0.01	1.88	5.27	0.64	0.06
1971	CT	13916569	37.4	3061	37210077.54	12156.18	23.32	0.01	7.8	20.86	32.39	0.01	2.04	5.45	0.61	0.06
1972	CT	14713654	38.8	3069	37921788.66	12356.4	24.92	0.01	8.61	22.2	33.41	0.01	2.06	5.31	0.6	0.05
1973	CT	16299486	41	3068	39754843.9	12957.9	26.07	0.01	9.44	23.01	30.71	0.01	2.21	5.4	0.59	0.07
1974	CT	17746885	45.2	3074	39263019.91	12772.62	25.89	0.01	12.98	28.72	33.82	0.01	2.76	6.1	0.61	0.05
1975	CT	19180025	48.9	3083	39222955.01	12722.33	25.42	0.01	14.49	29.63	32.3	0.01	3.28	6.7	0.58	0.05
1976	CT	20706538	51.8	3083	39974011.58	12965.95	26.76	0.01	14.11	27.24	32.57	0.01	3.38	6.53	0.66	0.05
1977	CT	22837908	55.4	3086	41223660.65	13358.28	27.16	0.01	14.41	26	31.38	0.01	4.3	7.76	0.65	0.05
1978	CT	25321727	59.4	3092	42629170.03	13786.92	27.57	0.01	14.64	24.65	32.21	0.01	4.42	7.43	0.61	0.05
1979	CT	28397470	64.7	3096	43890989.18	14176.68	27.89	0.01	16.92	26.15	31.65	0.01	4.69	7.25	0.58	0.06
1980	CT	32117545	71.4	3108	44982556.02	14473.15	28.04	0.01	20.27	28.39	32.75	0.01	5.72	8.02	0.62	0.07
1981	CT	35665081	77.8	3123	45842006.43	14678.84	29.39	0.01	25.36	32.6	34.17	0.01	6.68	8.59	0.65	0.06
1982	CT	38346080	82.2	3128	46649732.36	14913.6	29.02	0.01	27.93	33.98	33.95	0.01	8.29	10.09	0.56	0.05
1983	CT	41986870	86.2	3147	48708665.89	15477.81	29.91	0.01	28.23	32.75	31.81	0.01	9.43	10.94	0.61	0.07
1984	CT	46852709	89.6	3160	52290969.87	16547.78	29.29	0.01	29.35	32.76	34.02	0.01	8.56	9.55	0.57	0.06
1985	CT	49566335	93.1	3176	53239887.22	16763.19	29.47	0.01	29.24	31.41	33.76	0.01	8.88	9.54	0.58	0.05
1986	CT	52522037	96	3194	54710455.21	17129.13	30.98	0.01	27.2	28.33	36.16	0.01	8.57	8.93	0.6	0.04
1987	CT	57830392	100	3212	57830392	18004.48	32.99	0.01	26.82	26.82	37.25	0.01	7.96	7.96	0.61	0.06
1988	CT	63911778	104.2	3232	61335679.46	18977.62	35.14	0.01	27.03	25.94	40.75	0.01	7.63	7.32	0.6	0.07
1989	CT	68047862	109.3	3239	62257879.23	19221.33	35.78	0.01	28.09	25.7	42.08	0.01	7.98	7.3	0.6	0.06
1990	CT	71378952	115	3287	62068653.91	18883.07	35.4	0.01	29.32	25.5	38.68	0.01	8.31	7.23	0.51	0.06
1970	DE	2073527	35.7	548	5808198.88	10598.9	3.99	0.01	7.53	21.09	8	0.01	1.55	4.35	0.48	0.11
1971	DE	2273256	37.4	565	6078224.6	10757.92	4.26	0.01	8.11	21.67	8.34	0.01	1.6	4.27	0.45	0.11
1972	DE	2476840	38.8	573	6383608.25	11140.68	4.45	0.01	9.37	24.14	8.52	0.01	1.68	4.32	0.45	0.09
1973	DE	2754834	41	578	6719107.32	11624.75	4.93	0.01	9.79	23.88	7.66	0.01	1.82	4.43	0.43	0.12
1974	DE	2996411	45.2	581	6629227.88	11410.03	4.7	0.01	13.11	29	7.53	0.01	2.07	4.57	0.46	0.09
1975	DE	3241581	48.9	587	6629000	11293.02	5.6	0.01	13.93	28.48	7.09	0.01	2.39	4.89	0.42	0.11
1976	DE	3516146	51.8	590	6787926.64	11504.96	5.85	0.01	14.29	27.59	7.51	0.01	2.56	4.95	0.52	0.09
1977	DE	3815315	55.4	592	6886850.18	11633.19	6.11	0.01	16.26	29.35	7.38	0.01	3.17	5.73	0.53	0.11
1978	DE	4187177	59.4	595	7049119.53	11847.26	6.21	0.01	16.63	28	7.67	0.01	3.95	6.65	0.49	0.1
1979	DE	4536764	64.7	595	7012000	11784.87	6.2	0.01	18.08	27.94	7.18	0.01	3.92	6.05	0.46	0.09
1980	DE	5062740	71.4	594	7090672.27	11937.16	6.37	0.01	21.76	30.48	7.14	0.01	4.16	5.83	0.49	0.13
1981	DE	5570180	77.8	598	7159614.4	11972.6	4.93	0.01	25.02	32.15	7.04	0.01	5.35	6.87	0.51	0.1
1982	DE	6025900	82.2	602	7330778.59	12177.37	5	0.01	28.57	34.76	6.9	0.01	5.85	7.12	0.43	0.09
1983	DE	6605014	86.2	610	7662429.23	12561.36	5.27	0.01	28.24	32.76	6.31	0.01	6.49	7.53	0.49	0.12
1984	DE	7163419	89.6	618	7994887.28	12936.71	6.49	0.01	27.19	30.35	6.97	0.01	6.55	7.31	0.42	0.1
1985	DE	7796858	93.1	626	8374713.21	13378.14	6.57	0.01	27.29	29.31	6.35	0.01	6.91	7.42	0.45	0.11
1986	DE	8377977	96	637	8727059.38	13700.25	7.24	0.01	24.88	25.92	6.97	0.01	6.97	7.26	0.47	0.11
1987	DE	9069397	100	648	9069397	13995.98	7.95	0.01	24.21	24.21	7.14	0.01	6.26	6.26	0.48	0.12
1988	DE	9809278	104.2	660	9413894.43	14263.48	8.64	0.01	24.65	23.65	7.72	0.01	5.9	5.66	0.48	0.12
1989	DE	10692652	109.3	673	9782847.21	14536.18	8.95	0.01	23.91	21.88	7.7	0.01	6.33	5.79	0.44	0.11
1990	DE	11593893	115	666	10081646.09	15137.61	9.05	0.01	24.65	21.43	7.38	0.01	6.04	5.25	0.39	0.11
1970	FL	23776032	35.7	6791	66599529.41	9807.03	83.97	0.01	6.1	17.08	15.3	0	2.42	6.76	0.07	0.33
1971	FL	26771747	37.4	7158	71582211.23	10000.31	92.89	0.01	6.26	16.74	13.78	0	2.44	6.52	0.05	0.34
1972	FL	30255697	38.8	7511	77978600.52	10381.92	103.87	0.01	6.54	16.84	13.74	0	2.48	6.4	0.06	0.35
1973	FL	35751910	41	7914	87199780.49	11018.42	120.23	0.02	6.95	16.95	17.36	0	2.54	6.19	0.05	0.34
1974	FL	40431205	45.2	8299	89449568.58	10778.36	117.19	0.01	9.13	20.19	15.77	0	2.67	5.91	0.05	0.34
1975	FL	44563782	48.9	8518	91132478.53	10698.81	118.59	0.01	10.92	22.34	16.39	0	2.54	5.2	0.07	0.36
1976	FL	48568330	51.8	8667	93761254.83	10818.19	122.91	0.01	11.57	22.35	17.88	0	2.65	5.11	0.1	0.31
1977	FL	54192220	55.4	8856	97819891.7	11045.61	132.91	0.02	12.09	21.83	19.43	0	3.31	5.97	0.1	0.32
1978	FL	62688955	59.4	9102	105536961.28	11594.92	142.78	0.02	12.72	21.41	23.13	0	3.31	5.57	0.07	0.34
1979	FL	72146159	64.7	9426	111508746.52	11829.91	144.05	0.02	14.12	21.83	18.46	0	3.51	5.43	0.07	0.34
1980	FL	84597661	71.4	9746	118484119.05	12157.2	152.67	0.02	16.74	23.44	16.19	0	4.49	6.29	0.1	0.34
1981	FL	97153903	77.8	10196	124876482.01	12247.6	157.43	0.02	21.17	27.21	18.1	0	4.8	6.16	0.06	0.33
1982	FL	103889204	82.2	10477	126385892.94	12063.18	153.97	0.01	21.88	26.61	14.75	0	6.1	7.42	0.07	0.36
1983	FL	117151808	86.2	10759	135906969.84	12631.93	161.32	0.01	22.8	26.45	16.87	0	6.25	7.25	0.07	0.32
1984	FL	128726333	89.6	11053	143667782.37	12998.08	171.67	0.02	23.8	26.57	16.36	0	6.52	7.28	0.07	0.32
1985	FL	140356052	93.1	11368	150758380.24	13261.64	184.65	0.02	24.73	26.56	15.01	0	6.72	7.22	0.07	0.35
1986	FL	152471025	96	11689	158823984.38	13587.47	196.78	0.02	23.36	24.33	14.91	0	6.7	6.98	0.06	0.36
1987	FL	164564959	100	12023	164564959	13687.51	206.11	0.02	22.73	22.73	15.95	0	6.83	6.83	0.07	0.34
1988	FL	179234149	104.2	12338	172009739.92	13941.46	218.27	0.02	22.91	21.99	16.08	0	6.94	6.66	0.05	0.33
1989	FL	198781730	109.3	12671	181868005.49	14353.09	232.64	0.02	22.67	20.74	14.21	0	7.42	6.79	0.06	0.36
1990	FL	213818494	115	12938	185929125.22	14370.78	242.64	0.02	22.78	19.81	14.1	0	7.79	6.77	0.05	0.38
1970	GA	13658354	35.7	4588	38258694.68	8338.86	42.56	0.01	5.18	14.52	90.07	0.02	1.02	2.85	0.3	0.18
1971	GA	15122889	37.4	4712	40435532.09	8581.39	44.69	0.01	5.47	14.62	91.06	0.02	1.1	2.94	0.24	0.17
1972	GA	16815871	38.8	4809	43339873.71	9012.24	47.04	0.01	5.89	15.19	87.89	0.02	1.22	3.14	0.28	0.16
1973	GA	19264546	41	4910	46986697.56	9569.59	52.49	0.01	6.18	15.07	88.78	0.02	1.27	3.09	0.22	0.17
1974	GA	21242962	45.2	4999	46997703.54	9401.42	51.51	0.01	7.39	16.36	78.33	0.02	1.36	3.01	0.27	0.16
1975	GA	23231777	48.9	5064	47508746.42	9381.66	56.15	0.01	9.01	18.42	89.51	0.02	1.46	2.98	0.27	0.17
1976	GA	25707532	51.8	5133	49628440.15	9668.51	57.68	0.01	9.26	17.88	88.68	0.02	1.65	3.19	0.35	0.14
1977	GA	28273076	55.4	5220	51034433.21	9776.71	63.5	0.01	10.77	19.45	100.99	0.02	1.91	3.46	0.33	0.19
1978	GA	32094431	59.4	5296	54031028.62	10202.23	65.57	0.01	11.85	19.95	99.06	0.02	2.27	3.82	0.28	0.19
1979	GA	35755380	64.7	5401	55263338.49	10232.06	62.67	0.01	12.61	19.49	94.53	0.02	2.77	4.28	0.29	0.16
1980	GA	40082680	71.4	5463	56138207.28	10276.08	68.35	0.01	13.85	19.4	93.12	0.02	3.57	4.99	0.31	0.2
1981	GA	44985255	77.8	5571	57821664.52	10379.05	68.95	0.01	15.1	19.41	94.42	0.02	4.23	5.43	0.3	0.17
1982	GA	48864421	82.2	5655	59445767.64	10512.07	68.74	0.01	17.86	21.73	89.43	0.02	5.18	6.3	0.28	0.17
1983	GA	53537131	86.2	5736	62108040.6	10827.76	70.72	0.01	18.36	21.3	93.75	0.02	5.95	6.91	0.31	0.17
1984	GA	60681990	89.6	5845	67725435.27	11586.9	77.01	0.01	18.62	20.79	97.78	0.02	6.25	6.97	0.26	0.17
1985	GA	66192678	93.1	5976	71098472.61	11897.33	80.2	0.01	18.91	20.31	86.39	0.01	6.42	6.9	0.25	0.18
1986	GA	72879997	96	6102	75916663.54	12441.28	88.06	0.01	19.67	20.49	91.58	0.02	6.46	6.73	0.27	0.21
1987	GA	77734387	100	6228	77734387	12481.44	92.09	0.01	19.8	19.8	103.25	0.02	6.18	6.18	0.29	0.19
