Year RGNP GNP PCRGNP IP EMP UN PRGNP CPI WG RWG M VEL BND SP500
1926 190 97000 1618 18.9 46464 1.8 51.2 53 1476 27.85 43.7 1.94 4.4 12.59
1927 189.8 94900 1594 18.9 46496 3.3 50 52 1502 28.88 44.7 1.86 4.3 15.34
1928 190.9 97000 1584 19.6 46774 4.2 50.4 51.3 1534 29.9 46.4 1.83 4.05 19.95
1929 203.6 103095 1671 21.8 47890 3.2 50.6 51.3 1543 30.08 46.6 1.94 4.42 26.02
1930 183.5 90367 1490 18.1 45740 8.7 49.3 50 1488 29.76 45.7 1.68 4.4 21.03
1931 169.3 75820 1364 15 42660 15.9 44.8 45.6 1369 30.02 42.7 1.45 4.1 13.66
1932 144.2 58049 1154 11.7 39190 23.6 40.2 40.9 1150 28.12 36.1 1.24 4.7 6.93
1933 141.5 55601 1126 13.8 39010 24.9 39.3 38.8 1086 27.99 35.2 1.32 4.15 8.96
1934 154.3 65054 1220 15.1 41150 21.7 42.2 40.1 1153 28.75 34.4 1.47 3.99 9.84
1935 169.5 72247 1331 17.4 42530 20.1 42.6 41.1 1216 29.59 39.1 1.49 3.5 10.6
1936 193 82481 1506 20.6 44710 16.9 42.7 41.5 1287 31.01 43.5 1.57 3.2 15.47
1937 203.2 90446 1576 22.5 46620 14.3 44.5 43 1376 32 45.7 1.64 3.08 15.41
1938 192.9 84670 1484 17.8 44560 19 43.9 42.2 1296 30.71 45.5 1.51 3 11.49
1939 209.4 90494 1598 21.8 46120 17.2 43.2 41.6 1363 32.76 49.3 1.5 2.75 12.06
1940 227.2 99678 1720 25.5 48060 14.6 43.9 42 1432 34.1 55.2 1.48 2.7 11.02
1941 263.7 124540 1977 31.8 51970 9.9 47.2 44.1 1653 37.48 62.5 1.58 2.65 9.82
1942 297.8 157910 2208 36.6 57720 4.7 53 48.8 2023 41.45 71.2 1.82 2.65 8.67
1943 337.1 191592 2465 44.7 63490 1.9 56.8 51.8 2349 45.35 89.9 1.75 2.65 11.5
1944 361.3 210104 2611 48.3 65370 1.2 58.2 52.7 2517 47.76 106.8 1.61 2.6 12.47
1945 355.2 211945 2538 41.3 64260 1.9 59.7 53.9 2517 46.7 126.6 1.37 2.55 15.16
1946 312.6 208509 2211 35.2 58700 3.9 66.7 58.5 2517 43.03 138.7 1.16 2.43 17.08
1947 309.9 231323 2150 39.4 58630 3.9 74.6 66.9 2793 41.75 146 1.2 2.5 15.17
1948 323.7 257562 2208 41 59.803 3.8 79.6 72.1 3038 42.14 148.1 1.33 2.8 15.53
1949 324.1 256484 2172 38.8 59266 5.9 79.1 71.4 3095 43.35 147.5 1.3 2.74 15.23
1950 355.3 284769 2342 44.9 60570 5.3 80.2 72.1 3302 45.8 150.8 1.41 2.58 18.4
1951 383.4 328404 2485 48.7 63062 3.3 85.6 77.8 3608 46.38 156.4 1.57 2.67 22.34
1952 395.1 345498 2517 50.6 63846 3 87.5 79.5 3832 48.2 164.9 1.56 3 24.5
1953 412.8 364593 2587 54.8 64726 2.9 88.3 80.1 4053 50.6 171.2 1.57 3.15 24.73
1954 407 364841 2506 51.8 63460 5.5 89.6 80.5 4123 51.22 177.2 1.51 3 29.69
1955 438 397960 2650 58.4 65220 4.4 90.9 80.2 4356 54.31 183.7 1.59 3.04 40.49
1956 446.1 419238 2652 61 66659 4.1 94 81.4 4589 56.38 186.9 1.66 3.09 46.62
1957 452.5 441134 2642 61.8 66871 4.3 97.5 84.3 4786 56.77 191.8 1.68 3.68 44.38
1958 447.3 447334 2569 57.8 65672 6.8 100 86.6 4946 57.11 201.1 1.61 3.61 46.24
1959 475.9 483663 2688 64.7 67182 5.5 101.6 87.3 5221 59.81 210.1 1.68 4.1 57.38
1960 487.7 503734 2699 66.2 68292 5.5 103.3 88.7 5352 60.34 210.7 1.72 4.55 55.85
1961 497.2 520097 2707 66.6 68318 6.7 104.6 89.6 5507 61.46 221.2 1.69 4.22 66.27
1962 529.8 560325 2841 72.1 69530 5.5 105.8 90.6 5730 63.25 233.9 1.71 4.42 62.38
1963 551 590503 2912 76.5 70500 5.7 107.2 91.7 5920 64.56 249.1 1.69 4.16 69.87
1964 581.1 632410 3029 81.8 72044 5.2 108.8 92.9 6196 66.7 264.7 1.71 4.33 81.37
1965 617.8 684884 3181 89.2 73811 4.5 110.9 94.5 6389 67.61 285.9 1.72 4.35 88.17
1966 658.1 749857 3349 98 76018 3.8 113.9 97.2 6643 68.34 308 1.76 4.75 85.26
1967 675.2 793927 3399 100 77818 3.8 117.6 100 6880 68.8 331.8 1.72 4.95 91.93
1968 706.6 864202 3522 105.8 79455 3.6 122.3 104.2 7347 70.51 361.6 1.72 5.93 98.7
1969 724.7 929095 3577 110.7 81408 3.5 128.2 109.8 7775 70.81 385.2 1.73 6.54 97.84
1970 720 974126 3516 106.7 81815 4.9 135.3 116.3 8150 70.08 401.3 1.73 7.6 83.82
