rff rt1 rt3 rt10
6.92 6.60667 7.18 7.60333
6.20667 5.99 6.65667 7.30667
6.26667 5.79667 6.48333 7.26333
6.22 5.92333 6.51667 7.19333
6.65 6.76667 7.72 8.34333
6.84333 7.12667 8.14667 8.87667
6.91667 7.24 8.29 9.12333
6.66333 6.78 7.58333 8.41667
7.15667 7.3 8.09667 8.91
7.98333 8.00333 8.59333 9.1
8.47 8.52667 8.75333 8.95667
9.44333 9.29 9.37667 9.20667
9.72667 8.92667 8.91667 8.77333
9.08333 8.09667 8.07333 8.10667
8.61333 7.82667 7.86333 7.90667
8.25 8.12667 8.38333 8.42333
8.24333 8.27333 8.62333 8.67667
8.16 7.82667 8.25 8.70333
7.74333 7.30333 7.76 8.39667
6.42667 6.43667 7.27 8.01667
5.86333 6.24333 7.24667 8.13
5.64333 5.88667 6.89333 7.94
4.81667 4.86667 5.84 7.34667
4.02333 4.35667 5.76667 7.30333
3.77 4.22 5.78 7.37667
3.25667 3.41667 4.68333 6.61667
3.03667 3.56333 4.99667 6.74333
3.04 3.40667 4.63667 6.28
3 3.38 4.41 5.99
3.06 3.42333 4.32 5.61667
2.99 3.52667 4.40667 5.60667
3.21333 3.91 4.90333 6.06667
3.94 5.13333 6.2 7.08333
4.48667 5.6 6.55667 7.33333
5.16667 6.59667 7.39667 7.83667
5.81 6.72667 7.26667 7.48333
6.02 5.97 6.25 6.62
5.79667 5.65333 5.96 6.32333
5.72 5.44333 5.57667 5.89333
5.36333 5.12333 5.37667 5.91
5.24333 5.66333 6.29 6.72
5.30667 5.78333 6.35667 6.78
5.28 5.48 5.93667 6.34333
5.27667 5.64667 6.19 6.56333
5.52333 5.85 6.42333 6.69667
5.53333 5.54 6.01333 6.24333
5.50667 5.48333 5.78 5.90667
5.52 5.31333 5.46 5.58667
5.5 5.41 5.57 5.59667
5.53333 5.09333 5.11 5.20333
4.86 4.39 4.41 4.67
4.73333 4.66333 4.87333 4.98333
4.74667 4.88 5.35333 5.54
5.09333 5.16 5.71333 5.88333
5.30667 5.60667 6 6.14
5.68 6.18667 6.55667 6.48
6.27333 6.21667 6.52 6.17667
6.52 6.13 6.15667 5.89333
6.47333 5.9 5.63333 5.56667
5.59333 4.59667 4.63667 5.05
4.32667 3.78 4.42667 5.27
3.49667 3.30333 3.93333 4.98
2.13333 2.24333 3.32667 4.77
