rff rt1 rt3 rt10
5.05 5.58 5.8 5.74
5.76 5.71 5.75 5.64
6.11 6.14 6.11 5.87
6.07 5.98 5.82 5.72
6.02 5.65 5.54 5.5
6.03 5.43 5.42 5.42
5.78 5.45 5.39 5.46
5.91 5.57 5.52 5.58
5.82 5.75 5.57 5.7
6.02 6.19 6.16 6.03
6.3 6.34 6.22 6.04
6.61 6.41 6.32 6.19
6.79 6.34 6.38 6.3
7.41 6.26 6.25 6.17
8.67 6.42 6.51 6.32
8.9 7.04 6.83 6.57
8.61 7.6 7.31 6.72
9.19 7.54 7.29 6.69
9.15 7.82 7.77 7.16
9 7.64 7.57 7.1
8.85 7.89 7.65 7.14
8.97 8.17 8.1 7.65
8.98 8.1 8.24 7.79
8.98 7.59 7.79 7.24
7.76 6.97 7.15 7.07
8.1 7.06 7.39 7.39
7.94 7.75 7.94 7.91
7.6 7.55 7.84 7.84
7.21 7.1 7.56 7.46
6.61 6.98 7.46 7.53
6.29 6.73 7.11 7.39
6.2 6.43 6.96 7.33
5.6 5.51 6.25 6.84
4.9 5 5.75 6.39
4.14 4.57 5.61 6.24
3.72 3.89 5.07 6.11
3.71 3.69 4.5 5.7
4.15 4.3 5.22 5.83
4.63 5.04 5.97 6.39
4.91 5.64 6.32 6.52
5.31 6.04 6.74 6.73
5.56 5.8 6.35 6.58
5.55 5.41 5.89 6.14
5.2 4.91 5.56 5.93
4.91 4.67 5.35 5.81
4.14 4.6 5.27 5.93
3.5 4.28 5.14 5.95
3.29 4.27 5.25 6.08
3.83 4.67 5.56 6.07
4.17 4.96 5.88 6.19
4.27 4.64 5.55 6.13
4.46 4.93 5.64 6.11
4.55 4.96 5.78 6.11
4.8 4.98 5.79 6.21
4.87 5.52 6.06 6.55
5.04 5.52 6.05 6.48
5.06 5.27 5.94 6.28
5.33 5.52 6.01 6.36
5.94 5.89 6.27 6.46
6.58 6.19 6.58 6.64
7.09 6.85 6.86 6.71
7.12 6.85 6.78 6.67
7.84 6.89 6.83 6.85
8.49 7.31 6.84 6.9
10.4 8.39 7.54 7.13
10.5 8.82 7.89 7.4
10.78 8.31 7.25 7.09
10.01 7.4 6.81 6.79
10.03 7.57 7 6.73
9.95 7.27 6.81 6.74
9.65 7.42 6.96 6.99
8.97 6.88 6.76 6.96
9.35 7.76 7.35 7.21
10.51 8.62 8.05 7.51
11.31 8.78 8.27 7.58
11.93 8.67 8.15 7.54
12.92 8.8 8.41 7.81
12.01 9.36 8.66 8.04
11.34 8.87 8.41 8.04
10.06 8.05 8 7.9
9.45 7.66 7.61 7.68
8.53 7.31 7.24 7.43
7.13 6.83 7.23 7.5
6.24 5.98 6.65 7.39
5.54 6.11 6.81 7.73
5.49 6.9 7.76 8.23
5.22 6.39 7.39 8.06
5.55 6.29 7.17 7.86
6.1 7.11 7.72 8.06
6.14 7.7 8.16 8.4
6.24 7.75 8.29 8.43
5.82 6.95 7.81 8.14
5.22 6.49 7.46 8.05
5.2 6.6 7.43 8
4.87 5.81 6.99 7.74
4.77 5.91 7.06 7.79
4.84 6.21 7.13 7.73
4.82 5.92 6.84 7.56
5.29 6.4 7.27 7.9
5.48 6.52 7.31 7.86
5.31 6.2 7.12 7.83
5.29 6 6.86 7.77
5.25 5.84 6.66 7.59
5.02 5.5 6.24 7.41
4.95 5.29 6.09 7.29
4.65 4.89 5.68 6.87
4.61 5.29 6.22 7.21
4.68 5.47 6.44 7.39
4.69 5.5 6.47 7.46
4.73 5.44 6.31 7.37
5.35 5.84 6.55 7.46
5.39 5.8 6.39 7.28
5.42 5.94 6.51 7.33
5.9 6.37 6.79 7.4
6.14 6.53 6.84 7.34
6.47 6.97 7.19 7.52
6.51 6.95 7.22 7.58
6.56 6.96 7.3 7.69
6.7 7.28 7.61 7.96
6.78 7.34 7.67 8.03
6.79 7.31 7.7 8.04
6.89 7.45 7.85 8.15
7.36 7.82 8.07 8.35
7.6 8.09 8.3 8.46
7.81 8.39 8.54 8.64
8.04 8.31 8.33 8.41
8.45 8.64 8.41 8.42
8.96 9.14 8.62 8.64
9.76 10.01 9.04 8.81
10.03 10.3 9.33 9.01
10.07 10.41 9.5 9.1
10.06 10.24 9.29 9.1
10.09 10.25 9.38 9.12
10.01 10.12 9.43 9.18
10.24 10.12 9.42 9.25
10.29 9.57 8.95 8.91
10.47 9.64 8.94 8.95
10.94 9.98 9.14 9.03
11.43 10.84 9.69 9.33
13.77 12.44 10.95 10.3
13.18 12.39 11.18 10.65
13.78 11.98 10.71 10.39
13.82 12.06 10.88 10.8
14.13 13.92 12.84 12.41
17.19 15.82 14.05 12.75
17.61 13.3 12.02 11.47
10.98 9.39 9.44 10.18
9.47 8.16 8.91 9.78
9.03 8.65 9.27 10.25
9.61 10.24 10.63 11.1
10.87 11.52 11.57 11.51
12.81 12.49 12.01 11.75
15.85 14.15 13.31 12.68
18.9 14.88 13.65 12.84
19.08 14.08 13.01 12.57
15.93 14.57 13.65 13.19
14.7 13.71 13.51 13.12
15.72 14.32 14.09 13.68
18.52 16.2 15.08 14.1
19.1 14.86 14.29 13.47
19.04 15.72 15.15 14.28
17.82 16.72 16 14.94
15.87 16.52 16.22 15.32
15.08 15.38 15.5 15.15
13.31 12.41 13.11 13.39
12.37 12.85 13.66 13.72
13.22 14.32 14.64 14.59
14.78 14.73 14.73 14.43
14.68 13.95 14.13 13.86
14.94 13.98 14.18 13.87
14.45 13.34 13.77 13.62
14.15 14.07 14.48 14.3
12.59 13.24 14 13.95
10.12 11.43 12.62 13.06
10.31 10.85 12.03 12.34
9.71 9.32 10.62 10.91
9.2 9.16 9.98 10.55
8.95 8.91 9.88 10.54
8.68 8.62 9.64 10.46
8.51 8.92 9.91 10.72
8.77 9.04 9.84 10.51
8.8 8.98 9.76 10.4
8.63 8.9 9.66 10.38
8.98 9.66 10.32 10.85
9.37 10.2 10.9 11.38
9.56 10.53 11.3 11.85
9.45 10.16 11.07 11.65
9.48 9.81 10.87 11.54
9.34 9.94 10.96 11.69
9.47 10.11 11.13 11.83
9.56 9.9 10.93 11.67
9.59 10.04 11.05 11.84
9.91 10.59 11.59 12.32
10.29 10.9 11.98 12.63
10.32 11.66 12.75 13.41
11.06 12.08 13.18 13.56
11.23 12.03 13.08 13.36
11.64 11.82 12.5 12.72
11.3 11.58 12.34 12.52
9.99 10.9 11.85 12.16
9.43 9.82 10.9 11.57
8.38 9.33 10.56 11.5
8.35 9.02 10.43 11.38
8.5 9.29 10.55 11.51
8.58 9.86 11.05 11.86
8.27 9.14 10.49 11.43
7.97 8.46 9.75 10.85
7.53 7.8 9.05 10.16
7.88 7.86 9.18 10.31
7.9 8.05 9.31 10.33
7.92 8.07 9.37 10.37
7.99 8.01 9.25 10.24
8.05 7.88 8.88 9.78
8.27 7.67 8.4 9.26
8.14 7.73 8.41 9.19
7.86 7.61 8.1 8.7
7.48 7.03 7.3 7.78
6.99 6.44 6.86 7.3
6.85 6.65 7.27 7.71
6.92 6.73 7.41 7.8
6.56 6.27 6.86 7.3
6.17 5.93 6.49 7.17
5.89 5.77 6.62 7.45
5.85 5.72 6.56 7.43
6.04 5.8 6.46 7.25
6.91 5.87 6.43 7.11
6.43 5.78 6.41 7.08
6.1 5.96 6.56 7.25
6.13 6.03 6.58 7.25
6.37 6.5 7.32 8.02
6.85 7 8.02 8.61
6.73 6.8 7.82 8.4
6.58 6.68 7.74 8.45
6.73 7.03 8.03 8.76
7.22 7.67 8.67 9.42
7.29 7.59 8.75 9.52
6.69 6.96 7.99 8.86
6.77 7.17 8.13 8.99
6.83 6.99 7.87 8.67
6.58 6.64 7.38 8.21
6.58 6.71 7.5 8.37
6.87 7.01 7.83 8.72
7.09 7.4 8.24 9.09
7.51 7.49 8.22 8.92
7.75 7.75 8.44 9.06
8.01 8.17 8.77 9.26
8.19 8.09 8.57 8.98
8.3 8.11 8.43 8.8
8.35 8.48 8.72 8.96
8.76 8.99 9.11 9.11
9.12 9.05 9.2 9.09
9.36 9.25 9.32 9.17
9.85 9.57 9.61 9.36
9.84 9.36 9.4 9.18
9.81 8.98 8.98 8.86
9.53 8.44 8.37 8.28
9.24 7.89 7.83 8.02
8.99 8.18 8.13 8.11
9.02 8.22 8.26 8.19
8.84 7.99 8.02 8.01
8.55 7.77 7.8 7.87
8.45 7.72 7.77 7.84
8.23 7.92 8.13 8.21
8.24 8.11 8.39 8.47
8.28 8.35 8.63 8.59
8.26 8.4 8.78 8.79
8.18 8.32 8.69 8.76
8.29 8.1 8.4 8.48
8.15 7.94 8.26 8.47
8.13 7.78 8.22 8.75
8.2 7.76 8.27 8.89
8.11 7.55 8.07 8.72
7.81 7.31 7.74 8.39
7.31 7.05 7.47 8.08
6.91 6.64 7.38 8.09
6.25 6.27 7.08 7.85
6.12 6.4 7.35 8.11
5.91 6.24 7.23 8.04
5.78 6.13 7.12 8.07
5.9 6.36 7.39 8.28
5.82 6.31 7.38 8.27
5.66 5.78 6.8 7.9
5.45 5.57 6.5 7.65
5.21 5.33 6.23 7.53
4.81 4.89 5.9 7.42
4.43 4.38 5.39 7.09
4.03 4.15 5.4 7.03
4.06 4.29 5.72 7.34
3.98 4.63 6.18 7.54
3.73 4.3 5.93 7.48
3.82 4.19 5.81 7.39
3.76 4.17 5.6 7.26
3.25 3.6 4.91 6.84
3.3 3.47 4.72 6.59
3.22 3.18 4.42 6.42
3.1 3.3 4.64 6.59
3.09 3.68 5.14 6.87
2.92 3.71 5.21 6.77
3.02 3.5 4.93 6.6
3.03 3.39 4.58 6.26
3.07 3.33 4.4 5.98
2.96 3.24 4.3 5.97
3 3.36 4.4 6.04
3.04 3.54 4.53 5.96
3.06 3.47 4.43 5.81
3.03 3.44 4.36 5.68
3.09 3.36 4.17 5.36
2.99 3.39 4.18 5.33
3.02 3.58 4.5 5.72
2.96 3.61 4.54 5.77
3.05 3.54 4.48 5.75
3.25 3.87 4.83 5.97
3.34 4.32 5.4 6.48
3.56 4.82 5.99 6.97
4.01 5.31 6.34 7.18
4.25 5.27 6.27 7.1
4.26 5.48 6.48 7.3
4.47 5.56 6.5 7.24
4.73 5.76 6.69 7.46
4.76 6.11 7.04 7.74
5.29 6.54 7.44 7.96
5.45 7.14 7.71 7.81
5.53 7.05 7.66 7.78
5.92 6.7 7.25 7.47
5.98 6.43 6.89 7.2
6.05 6.27 6.68 7.06
6.01 6 6.27 6.63
6 5.64 5.8 6.17
5.85 5.59 5.89 6.28
5.74 5.75 6.1 6.49
5.8 5.62 5.89 6.2
5.76 5.59 5.77 6.04
5.8 5.43 5.57 5.93
5.6 5.31 5.39 5.71
5.56 5.09 5.2 5.65
5.22 4.94 5.14 5.81
5.31 5.34 5.79 6.27
5.22 5.54 6.11 6.51
5.24 5.64 6.27 6.74
5.27 5.81 6.49 6.91
5.4 5.85 6.45 6.87
5.22 5.67 6.21 6.64
5.3 5.83 6.41 6.83
5.24 5.55 6.08 6.53
5.31 5.42 5.82 6.2
5.29 5.47 5.91 6.3
5.25 5.61 6.16 6.58
5.19 5.53 6.03 6.42
5.39 5.8 6.38 6.69
5.51 5.99 6.61 6.89
5.5 5.87 6.42 6.71
5.56 5.69 6.24 6.49
5.52 5.54 6 6.22
5.54 5.56 6.06 6.3
5.54 5.52 5.98 6.21
5.5 5.46 5.84 6.03
5.52 5.46 5.76 5.88
5.5 5.53 5.74 5.81
5.56 5.24 5.38 5.54
5.51 5.31 5.43 5.57
5.49 5.39 5.57 5.65
5.45 5.38 5.58 5.64
5.49 5.44 5.61 5.65
5.56 5.41 5.52 5.5
5.54 5.36 5.47 5.46
5.55 5.21 5.24 5.34
5.51 4.71 4.62 4.81
5.07 4.12 4.18 4.53
4.83 4.53 4.57 4.83
4.68 4.52 4.48 4.65
4.63 4.51 4.61 4.72
4.76 4.7 4.9 5
4.81 4.78 5.11 5.23
4.74 4.69 5.03 5.18
4.74 4.85 5.33 5.54
4.76 5.1 5.7 5.9
4.99 5.03 5.62 5.79
5.07 5.2 5.77 5.94
5.22 5.25 5.75 5.92
5.2 5.43 5.94 6.11
5.42 5.55 5.92 6.03
5.3 5.84 6.14 6.28
5.46 6.12 6.49 6.66
5.73 6.22 6.65 6.52
5.85 6.22 6.53 6.26
6.02 6.15 6.36 5.99
6.27 6.33 6.77 6.44
6.53 6.17 6.43 6.1
6.54 6.08 6.28 6.05
6.5 6.18 6.17 5.83
6.52 6.13 6.02 5.8
6.51 6.01 5.85 5.74
6.51 6.09 5.79 5.72
6.4 5.6 5.26 5.24
5.98 4.81 4.77 5.16
5.49 4.68 4.71 5.1
5.31 4.3 4.43 4.89
4.8 3.98 4.42 5.14
4.21 3.78 4.51 5.39
3.97 3.58 4.35 5.28
3.77 3.62 4.31 5.24
3.65 3.47 4.04 4.97
3.07 2.82 3.45 4.73
2.49 2.33 3.14 4.57
2.09 2.18 3.22 4.65
1.82 2.22 3.62 5.09
